# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_smallR_res_C1b
Path=/res/oxford_combined_rw2/histo_m_smallR_res_C1b
Title=m_smallR_res_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	3.794945e+04	2.724609e+01	2.724609e+01
6.000000e+00	1.200000e+01	1.263351e+05	4.971008e+01	4.971008e+01
1.200000e+01	1.800000e+01	5.172527e+04	3.180594e+01	3.180594e+01
1.800000e+01	2.400000e+01	1.384012e+04	1.645080e+01	1.645080e+01
2.400000e+01	3.000000e+01	4.054445e+03	8.903302e+00	8.903302e+00
3.000000e+01	3.600000e+01	1.361911e+03	5.159806e+00	5.159806e+00
3.600000e+01	4.200000e+01	5.546400e+02	3.292731e+00	3.292731e+00
4.200000e+01	4.800000e+01	2.571517e+02	2.241926e+00	2.241926e+00
4.800000e+01	5.400000e+01	1.411952e+02	1.661142e+00	1.661142e+00
5.400000e+01	6.000000e+01	8.748652e+01	1.307522e+00	1.307522e+00
6.000000e+01	6.600000e+01	6.134090e+01	1.094854e+00	1.094854e+00
6.600000e+01	7.200000e+01	5.068917e+01	9.952459e-01	9.952459e-01
7.200000e+01	7.800000e+01	5.235353e+01	1.011491e+00	1.011491e+00
7.800000e+01	8.400000e+01	4.840178e+01	9.725198e-01	9.725198e-01
8.400000e+01	9.000000e+01	3.558407e+01	8.338748e-01	8.338748e-01
9.000000e+01	9.600000e+01	2.227615e+01	6.597628e-01	6.597628e-01
9.600000e+01	1.020000e+02	1.358089e+01	5.151528e-01	5.151528e-01
1.020000e+02	1.080000e+02	7.523088e+00	3.834121e-01	3.834121e-01
1.080000e+02	1.140000e+02	5.588580e+00	3.304597e-01	3.304597e-01
1.140000e+02	1.200000e+02	3.908098e+00	2.763442e-01	2.763442e-01
1.200000e+02	1.260000e+02	3.146018e+00	2.479410e-01	2.479410e-01
1.260000e+02	1.320000e+02	2.481642e+00	2.202101e-01	2.202101e-01
1.320000e+02	1.380000e+02	1.758643e+00	1.853774e-01	1.853774e-01
1.380000e+02	1.440000e+02	1.406915e+00	1.658066e-01	1.658066e-01
1.440000e+02	1.500000e+02	1.211510e+00	1.538620e-01	1.538620e-01
1.500000e+02	1.560000e+02	9.574838e-01	1.367834e-01	1.367834e-01
1.560000e+02	1.620000e+02	8.207003e-01	1.266369e-01	1.266369e-01
1.620000e+02	1.680000e+02	1.035646e+00	1.422569e-01	1.422569e-01
1.680000e+02	1.740000e+02	9.965648e-01	1.395470e-01	1.395470e-01
1.740000e+02	1.800000e+02	9.770243e-01	1.381721e-01	1.381721e-01
# END HISTO1D

