# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_HH_res_C2
Path=/res/oxford_combined_rw2/histo_m_HH_res_C2
Title=m_HH_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	8.445885e-07	8.028303e-07	8.028303e-07
2.000000e+02	2.200000e+02	1.367523e-06	8.116814e-07	8.116814e-07
2.200000e+02	2.400000e+02	1.833483e-05	3.599965e-06	3.599965e-06
2.400000e+02	2.600000e+02	9.366040e-05	8.426074e-06	8.426074e-06
2.600000e+02	2.800000e+02	3.426468e-04	1.626777e-05	1.626777e-05
2.800000e+02	3.000000e+02	7.842760e-04	2.471705e-05	2.471705e-05
3.000000e+02	3.200000e+02	1.431622e-03	3.350555e-05	3.350555e-05
3.200000e+02	3.400000e+02	2.229535e-03	4.189033e-05	4.189033e-05
3.400000e+02	3.600000e+02	3.206323e-03	5.032440e-05	5.032440e-05
3.600000e+02	3.800000e+02	4.219794e-03	5.782344e-05	5.782344e-05
3.800000e+02	4.000000e+02	5.056945e-03	6.334607e-05	6.334607e-05
4.000000e+02	4.200000e+02	5.192110e-03	6.416037e-05	6.416037e-05
4.200000e+02	4.400000e+02	5.326850e-03	6.491044e-05	6.491044e-05
4.400000e+02	4.600000e+02	5.134415e-03	6.363162e-05	6.363162e-05
4.600000e+02	4.800000e+02	4.737698e-03	6.096893e-05	6.096893e-05
4.800000e+02	5.000000e+02	4.306599e-03	5.790173e-05	5.790173e-05
5.000000e+02	5.200000e+02	3.744992e-03	5.363989e-05	5.363989e-05
5.200000e+02	5.400000e+02	3.476474e-03	5.120874e-05	5.120874e-05
5.400000e+02	5.600000e+02	2.967650e-03	4.675045e-05	4.675045e-05
5.600000e+02	5.800000e+02	2.530083e-03	4.269986e-05	4.269986e-05
5.800000e+02	6.000000e+02	2.167436e-03	3.894607e-05	3.894607e-05
# END HISTO1D

