# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_HH_boost_C2
Path=/res/oxford_combined_rw2/histo_m_HH_boost_C2
Title=m_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+02	3.600000e+02	6.343880e-05	6.343881e-05	6.343881e-05
3.600000e+02	3.800000e+02	1.585970e-06	1.121450e-06	1.121450e-06
3.800000e+02	4.000000e+02	2.378955e-06	1.373491e-06	1.373491e-06
4.000000e+02	4.200000e+02	7.929850e-07	7.929852e-07	7.929852e-07
4.200000e+02	4.400000e+02	2.164849e-04	1.200083e-04	1.200083e-04
4.400000e+02	4.600000e+02	3.108501e-04	1.440791e-04	1.440791e-04
4.600000e+02	4.800000e+02	5.099690e-03	5.075113e-03	5.075113e-03
4.800000e+02	5.000000e+02	5.611955e-03	5.078420e-03	5.078420e-03
5.000000e+02	5.200000e+02	1.799442e-02	9.613890e-03	9.613890e-03
5.200000e+02	5.400000e+02	1.136110e-02	7.222041e-03	7.222041e-03
5.400000e+02	5.600000e+02	1.103360e-02	7.180834e-03	7.180834e-03
5.600000e+02	5.800000e+02	7.308150e-03	5.144891e-03	5.144891e-03
5.800000e+02	6.000000e+02	1.286064e-02	7.239359e-03	7.239359e-03
# END HISTO1D

