# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dR_HH_boost_C1d
Path=/res/oxford_combined_rw2/histo_dR_HH_boost_C1d
Title=dR_HH_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-01	3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333333e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	1.000000e+00	1.406915e+00	9.948392e-01	9.948392e-01
1.000000e+00	1.166667e+00	3.728317e+01	5.121239e+00	5.121239e+00
1.166667e+00	1.333333e+00	6.331141e+01	6.673613e+00	6.673613e+00
1.333333e+00	1.500000e+00	1.097392e+02	8.786165e+00	8.786165e+00
1.500000e+00	1.666667e+00	1.603880e+02	1.062196e+01	1.062196e+01
1.666667e+00	1.833333e+00	2.752692e+02	1.392183e+01	1.392183e+01
1.833333e+00	2.000000e+00	4.797571e+02	1.837085e+01	1.837085e+01
2.000000e+00	2.166667e+00	8.624371e+02	2.463101e+01	2.463101e+01
2.166667e+00	2.333333e+00	1.774973e+03	3.533743e+01	3.533743e+01
2.333333e+00	2.500000e+00	3.825071e+03	5.187570e+01	5.187570e+01
2.500000e+00	2.666667e+00	8.549311e+03	7.755144e+01	7.755144e+01
2.666667e+00	2.833333e+00	1.833382e+04	1.135664e+02	1.135664e+02
2.833333e+00	3.000000e+00	3.554195e+04	1.581221e+02	1.581221e+02
3.000000e+00	3.166667e+00	6.149244e+04	2.079861e+02	2.079861e+02
3.166667e+00	3.333333e+00	3.207039e+04	1.502035e+02	1.502035e+02
3.333333e+00	3.500000e+00	1.545101e+04	1.042671e+02	1.042671e+02
3.500000e+00	3.666667e+00	8.164322e+03	7.581378e+01	7.581378e+01
3.666667e+00	3.833333e+00	4.474457e+03	5.618933e+01	5.618933e+01
3.833333e+00	4.000000e+00	2.410057e+03	4.127232e+01	4.127232e+01
4.000000e+00	4.166667e+00	1.234108e+03	2.958934e+01	2.958934e+01
4.166667e+00	4.333333e+00	6.068634e+02	2.071321e+01	2.071321e+01
4.333333e+00	4.500000e+00	2.766401e+02	1.402227e+01	1.402227e+01
4.500000e+00	4.666667e+00	9.821908e+01	8.333882e+00	8.333882e+00
4.666667e+00	4.833333e+00	2.749232e+01	4.402660e+00	4.402660e+00
4.833333e+00	5.000000e+00	3.517280e+00	1.572976e+00	1.572976e+00
# END HISTO1D

