# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dEta_HH_inter_C1d
Path=/res/oxford_combined_rw2/histo_dEta_HH_inter_C1d
Title=dEta_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	4.156062e+07	6.103049e+05	6.103049e+05
1.666667e-01	3.333333e-01	4.270160e+07	6.224435e+05	6.224435e+05
3.333333e-01	5.000000e-01	4.344265e+07	6.229545e+05	6.229545e+05
5.000000e-01	6.666667e-01	4.195511e+07	6.167996e+05	6.167996e+05
6.666667e-01	8.333333e-01	4.360827e+07	6.323075e+05	6.323075e+05
8.333333e-01	1.000000e+00	4.261704e+07	6.227091e+05	6.227091e+05
1.000000e+00	1.166667e+00	4.123564e+07	6.198159e+05	6.198159e+05
1.166667e+00	1.333333e+00	4.057614e+07	6.087248e+05	6.087248e+05
1.333333e+00	1.500000e+00	3.858368e+07	5.925629e+05	5.925629e+05
1.500000e+00	1.666667e+00	3.708338e+07	5.833675e+05	5.833675e+05
1.666667e+00	1.833333e+00	3.545406e+07	5.715731e+05	5.715731e+05
1.833333e+00	2.000000e+00	3.314270e+07	5.476539e+05	5.476539e+05
2.000000e+00	2.166667e+00	3.110993e+07	5.323252e+05	5.323252e+05
2.166667e+00	2.333333e+00	2.701771e+07	4.995320e+05	4.995320e+05
2.333333e+00	2.500000e+00	2.657678e+07	5.239183e+05	5.239183e+05
# END HISTO1D

