# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H1_res_C1d
Path=/res/oxford_combined_rw2/histo_phi_H1_res_C1d
Title=phi_H1_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	7.188510e+06	6.327034e+04	6.327034e+04
2.100000e-01	4.200000e-01	8.733995e+06	7.016592e+04	7.016592e+04
4.200000e-01	6.300000e-01	1.340876e+07	8.864572e+04	8.864572e+04
6.300000e-01	8.400000e-01	6.181986e+07	1.901153e+05	1.901153e+05
8.400000e-01	1.050000e+00	1.032459e+07	7.618531e+04	7.618531e+04
1.050000e+00	1.260000e+00	1.557077e+07	9.343072e+04	9.343072e+04
1.260000e+00	1.470000e+00	6.257495e+06	5.911603e+04	5.911603e+04
1.470000e+00	1.680000e+00	5.217848e+06	5.471182e+04	5.471182e+04
1.680000e+00	1.890000e+00	4.372386e+06	5.031031e+04	5.031031e+04
1.890000e+00	2.100000e+00	4.873538e+06	5.232848e+04	5.232848e+04
2.100000e+00	2.310000e+00	4.828790e+06	5.162403e+04	5.162403e+04
2.310000e+00	2.520000e+00	4.655690e+06	5.180425e+04	5.180425e+04
2.520000e+00	2.730000e+00	5.786367e+06	6.091727e+04	6.091727e+04
2.730000e+00	2.940000e+00	6.245657e+06	5.990760e+04	5.990760e+04
2.940000e+00	3.150000e+00	5.752390e+06	5.660226e+04	5.660226e+04
# END HISTO1D

