# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_subleadSJ_fj1_boost_C1e
Path=/res/oxford_combined_rw2/histo_eta_subleadSJ_fj1_boost_C1e
Title=eta_subleadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.758644e+00	7.179634e-01	7.179634e-01
-2.400000e+00	-2.000000e+00	8.389748e+04	1.735492e+04	1.735492e+04
-2.000000e+00	-1.600000e+00	5.580883e+05	4.517858e+04	4.517858e+04
-1.600000e+00	-1.200000e+00	9.495457e+06	1.904541e+05	1.904541e+05
-1.200000e+00	-8.000000e-01	7.364388e+05	5.256318e+04	5.256318e+04
-8.000000e-01	-4.000000e-01	1.274383e+06	7.308891e+04	7.308891e+04
-4.000000e-01	7.771561e-16	1.004784e+06	6.130621e+04	6.130621e+04
7.771561e-16	4.000000e-01	1.175440e+06	6.605035e+04	6.605035e+04
4.000000e-01	8.000000e-01	9.891810e+05	6.043262e+04	6.043262e+04
8.000000e-01	1.200000e+00	8.901663e+05	5.763959e+04	5.763959e+04
1.200000e+00	1.600000e+00	5.498022e+05	4.499449e+04	4.499449e+04
1.600000e+00	2.000000e+00	3.846180e+05	3.853060e+04	3.853060e+04
2.000000e+00	2.400000e+00	1.148168e+05	2.065515e+04	2.065515e+04
2.400000e+00	2.800000e+00	3.517288e+00	1.015354e+00	1.015354e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

