# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_inter_C2
Path=/res/oxford_combined_rw2/histo_m_largeR_inter_C2
Title=m_largeR_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	8.847288e+00	7.759722e+00	7.759722e+00
9.000000e+01	9.600000e+01	8.656233e+00	7.757337e+00	7.757337e+00
9.600000e+01	1.020000e+02	9.881532e-01	2.036125e-01	2.036125e-01
1.020000e+02	1.080000e+02	1.039840e+01	7.876516e+00	7.876516e+00
1.080000e+02	1.140000e+02	1.240120e+00	2.655348e-01	2.655348e-01
1.140000e+02	1.200000e+02	2.358807e+00	1.368106e+00	1.368106e+00
1.200000e+02	1.260000e+02	7.384825e-01	1.930257e-01	1.930257e-01
1.260000e+02	1.320000e+02	8.658803e+00	7.758961e+00	7.758961e+00
1.320000e+02	1.380000e+02	6.203563e-01	1.677714e-01	1.677714e-01
1.380000e+02	1.440000e+02	1.365439e+00	9.789461e-01	9.789461e-01
1.440000e+02	1.500000e+02	4.664695e-01	1.660332e-01	1.660332e-01
1.500000e+02	1.560000e+02	2.143600e-01	8.396105e-02	8.396105e-02
1.560000e+02	1.620000e+02	1.002108e-01	5.757852e-02	5.757852e-02
1.620000e+02	1.680000e+02	7.081057e-03	2.257831e-03	2.257831e-03
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

