# BEGIN HISTO1D /res/oxford_combined_rw2/histo_Categories_C1e
Path=/res/oxford_combined_rw2/histo_Categories_C1e
Title=Categories_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.452284e+08	2.115678e+05	2.115678e+05
1.000000e+00	2.000000e+00	1.395819e+05	3.999114e+03	3.999114e+03
2.000000e+00	3.000000e+00	1.895978e+05	4.659356e+03	4.659356e+03
3.000000e+00	4.000000e+00	6.861736e+04	2.792001e+03	2.792001e+03
4.000000e+00	5.000000e+00	3.719518e+04	2.091382e+03	2.091382e+03
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

