# BEGIN HISTO1D /res/oxford_combined_rw2/histo_tau21_fj_inter_C1e
Path=/res/oxford_combined_rw2/histo_tau21_fj_inter_C1e
Title=tau21_fj_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	3.408147e+04	1.077751e+04	1.077751e+04
3.333333e-02	6.666667e-02	5.793848e+04	1.405215e+04	1.405215e+04
6.666667e-02	1.000000e-01	1.124689e+05	1.957832e+04	1.957832e+04
1.000000e-01	1.333333e-01	1.552083e+05	2.516819e+04	2.516819e+04
1.333333e-01	1.666667e-01	2.283454e+05	2.789683e+04	2.789683e+04
1.666667e-01	2.000000e-01	2.760602e+05	3.067335e+04	3.067335e+04
2.000000e-01	2.333333e-01	3.036957e+05	3.219378e+04	3.219378e+04
2.333333e-01	2.666667e-01	3.038166e+05	3.220822e+04	3.220822e+04
2.666667e-01	3.000000e-01	3.817129e+05	3.606847e+04	3.606847e+04
3.000000e-01	3.333333e-01	3.817129e+05	3.606847e+04	3.606847e+04
3.333333e-01	3.666667e-01	3.578549e+05	3.492305e+04	3.492305e+04
3.666667e-01	4.000000e-01	4.255195e+05	3.826785e+04	3.826785e+04
4.000000e-01	4.333333e-01	3.953455e+05	3.670691e+04	3.670691e+04
4.333333e-01	4.666667e-01	3.987526e+05	3.686468e+04	3.686468e+04
4.666667e-01	5.000000e-01	3.544477e+05	3.475646e+04	3.475646e+04
5.000000e-01	5.333333e-01	3.885292e+05	3.638908e+04	3.638908e+04
5.333333e-01	5.666667e-01	4.055689e+05	3.717842e+04	3.717842e+04
5.666667e-01	6.000000e-01	1.976727e+05	2.595570e+04	2.595570e+04
6.000000e-01	6.333333e-01	2.727011e+05	3.048895e+04	3.048895e+04
6.333333e-01	6.666667e-01	2.351617e+05	2.831014e+04	2.831014e+04
6.666667e-01	7.000000e-01	1.635912e+05	2.361236e+04	2.361236e+04
7.000000e-01	7.333333e-01	1.465505e+05	2.234874e+04	2.234874e+04
7.333333e-01	7.666667e-01	1.090605e+05	1.927935e+04	1.927935e+04
7.666667e-01	8.000000e-01	5.453039e+04	1.363260e+04	1.363260e+04
8.000000e-01	8.333333e-01	4.430596e+04	1.228826e+04	1.228826e+04
8.333333e-01	8.666667e-01	2.385698e+04	9.017091e+03	9.017091e+03
8.666667e-01	9.000000e-01	1.022445e+04	5.903089e+03	5.903089e+03
9.000000e-01	9.333333e-01	3.408150e+03	3.408150e+03	3.408150e+03
9.333333e-01	9.666667e-01	1.022442e+04	5.903071e+03	5.903071e+03
9.666667e-01	1.000000e+00	6.816301e+03	4.819852e+03	4.819852e+03
# END HISTO1D

