# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Path=/res/oxford_combined_rw2/histo_pt_H1_boost_C1d
Title=pt_H1_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	1.415877e-02	1.359975e-04	1.359975e-04
2.100000e+02	2.400000e+02	3.932033e-02	2.266349e-04	2.266349e-04
2.400000e+02	2.700000e+02	3.634853e-02	2.179022e-04	2.179022e-04
2.700000e+02	3.000000e+02	3.028871e-02	1.989109e-04	1.989109e-04
3.000000e+02	3.300000e+02	2.315773e-02	1.739266e-04	1.739266e-04
3.300000e+02	3.600000e+02	1.762825e-02	1.517479e-04	1.517479e-04
3.600000e+02	3.900000e+02	1.336586e-02	1.321346e-04	1.321346e-04
3.900000e+02	4.200000e+02	1.005052e-02	1.145809e-04	1.145809e-04
4.200000e+02	4.500000e+02	7.609080e-03	9.969750e-05	9.969750e-05
4.500000e+02	4.800000e+02	5.971007e-03	8.831651e-05	8.831651e-05
4.800000e+02	5.100000e+02	4.556303e-03	7.714797e-05	7.714797e-05
5.100000e+02	5.400000e+02	3.691547e-03	6.944202e-05	6.944202e-05
5.400000e+02	5.700000e+02	2.929986e-03	6.186583e-05	6.186583e-05
5.700000e+02	6.000000e+02	2.340854e-03	5.529747e-05	5.529747e-05
6.000000e+02	6.300000e+02	1.796135e-03	4.843816e-05	4.843816e-05
6.300000e+02	6.600000e+02	1.519204e-03	4.454779e-05	4.454779e-05
6.600000e+02	6.900000e+02	1.239660e-03	4.024105e-05	4.024105e-05
6.900000e+02	7.200000e+02	1.095969e-03	3.783705e-05	3.783705e-05
7.200000e+02	7.500000e+02	8.595323e-04	3.350806e-05	3.350806e-05
7.500000e+02	7.800000e+02	7.315170e-04	3.091223e-05	3.091223e-05
7.800000e+02	8.100000e+02	6.217893e-04	2.849966e-05	2.849966e-05
8.100000e+02	8.400000e+02	5.499437e-04	2.680263e-05	2.680263e-05
8.400000e+02	8.700000e+02	4.585043e-04	2.447315e-05	2.447315e-05
8.700000e+02	9.000000e+02	3.958027e-04	2.273828e-05	2.273828e-05
# END HISTO1D

