# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_dEta_HH_boost_SDB
Path=/res/baseline_noPU_sideband/histo_dEta_HH_boost_SDB
ScaledBy=1
Title=dEta_HH_boost_SDB
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.666667e-01	3.126103e-02	1.936943e-03	1.936943e-03
1.666667e-01	3.333333e-01	3.041687e-02	1.915161e-03	1.915161e-03
3.333333e-01	5.000000e-01	2.844703e-02	1.845239e-03	1.845239e-03
5.000000e-01	6.666667e-01	2.364513e-02	1.688999e-03	1.688999e-03
6.666667e-01	8.333333e-01	2.146006e-02	1.604167e-03	1.604167e-03
8.333333e-01	1.000000e+00	1.596071e-02	1.387321e-03	1.387321e-03
1.000000e+00	1.166667e+00	1.215838e-02	1.208351e-03	1.208351e-03
1.166667e+00	1.333333e+00	9.015792e-03	1.031290e-03	1.031290e-03
1.333333e+00	1.500000e+00	6.826420e-03	9.023619e-04	9.023619e-04
1.500000e+00	1.666667e+00	4.204530e-03	7.058927e-04	7.058927e-04
1.666667e+00	1.833333e+00	2.732165e-03	5.622640e-04	5.622640e-04
1.833333e+00	2.000000e+00	2.374872e-03	5.308074e-04	5.308074e-04
2.000000e+00	2.166667e+00	2.434216e-03	5.460621e-04	5.460621e-04
2.166667e+00	2.333333e+00	8.691791e-04	3.158980e-04	3.158980e-04
2.333333e+00	2.500000e+00	8.245790e-04	3.150530e-04	3.150530e-04
# END HISTO1D

