# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_eta_H1_boost_RCO
Path=/res/baseline_noPU_sideband/histo_eta_H1_boost_RCO
ScaledBy=1
Title=eta_H1_boost_RCO
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	2.355886e-03	3.513873e-04	3.513873e-04
-2.000000e+00	-1.600000e+00	2.089686e-02	1.043721e-03	1.043721e-03
-1.600000e+00	-1.200000e+00	3.865807e-02	1.421288e-03	1.421288e-03
-1.200000e+00	-8.000000e-01	6.047220e-02	1.778011e-03	1.778011e-03
-8.000000e-01	-4.000000e-01	7.607472e-02	1.996997e-03	1.996997e-03
-4.000000e-01	0.000000e+00	8.138165e-02	2.063063e-03	2.063063e-03
0.000000e+00	4.000000e-01	8.904252e-02	2.162030e-03	2.162030e-03
4.000000e-01	8.000000e-01	7.429190e-02	1.972454e-03	1.972454e-03
8.000000e-01	1.200000e+00	6.020188e-02	1.775487e-03	1.775487e-03
1.200000e+00	1.600000e+00	3.807047e-02	1.408444e-03	1.408444e-03
1.600000e+00	2.000000e+00	2.036305e-02	1.031197e-03	1.031197e-03
2.000000e+00	2.400000e+00	2.456395e-03	3.594552e-04	3.594552e-04
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

