# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H0_inter_RCO
Path=/res/baseline_noPU_sideband/histo_phi_H0_inter_RCO
ScaledBy=1
Title=phi_H0_inter_RCO
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	3.923530e-02	1.947280e-03	1.947280e-03
2.100000e-01	4.200000e-01	3.351592e-02	1.791199e-03	1.791199e-03
4.200000e-01	6.300000e-01	3.303761e-02	1.771485e-03	1.771485e-03
6.300000e-01	8.400000e-01	3.352040e-02	1.788614e-03	1.788614e-03
8.400000e-01	1.050000e+00	3.428003e-02	1.811610e-03	1.811610e-03
1.050000e+00	1.260000e+00	3.327908e-02	1.782894e-03	1.782894e-03
1.260000e+00	1.470000e+00	3.372161e-02	1.791886e-03	1.791886e-03
1.470000e+00	1.680000e+00	3.288381e-02	1.771139e-03	1.771139e-03
1.680000e+00	1.890000e+00	3.471182e-02	1.825652e-03	1.825652e-03
1.890000e+00	2.100000e+00	3.411481e-02	1.805988e-03	1.805988e-03
2.100000e+00	2.310000e+00	3.428750e-02	1.811531e-03	1.811531e-03
2.310000e+00	2.520000e+00	3.402631e-02	1.805795e-03	1.805795e-03
2.520000e+00	2.730000e+00	3.373043e-02	1.802028e-03	1.802028e-03
2.730000e+00	2.940000e+00	3.223832e-02	1.753278e-03	1.753278e-03
2.940000e+00	3.150000e+00	3.243820e-02	1.756656e-03	1.756656e-03
# END HISTO1D

