# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_dPhi_HH_res_SIG
Path=/res/baseline_noPU_sideband/histo_dPhi_HH_res_SIG
ScaledBy=1
Title=dPhi_HH_res_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	5.458912e+00	4.782273e-02	4.782273e-02
-2.986667e+00	-2.773333e+00	3.751151e+00	3.955914e-02	3.955914e-02
-2.773333e+00	-2.560000e+00	1.666062e+00	2.631162e-02	2.631162e-02
-2.560000e+00	-2.346667e+00	8.347110e-01	1.859694e-02	1.859694e-02
-2.346667e+00	-2.133333e+00	4.671093e-01	1.389416e-02	1.389416e-02
-2.133333e+00	-1.920000e+00	3.100311e-01	1.133708e-02	1.133708e-02
-1.920000e+00	-1.706667e+00	2.192685e-01	9.525865e-03	9.525865e-03
-1.706667e+00	-1.493333e+00	1.627391e-01	8.215509e-03	8.215509e-03
-1.493333e+00	-1.280000e+00	1.292637e-01	7.323673e-03	7.323673e-03
-1.280000e+00	-1.066667e+00	1.157593e-01	6.932384e-03	6.932384e-03
-1.066667e+00	-8.533333e-01	9.072833e-02	6.133466e-03	6.133466e-03
-8.533333e-01	-6.400000e-01	7.416048e-02	5.547492e-03	5.547492e-03
-6.400000e-01	-4.266667e-01	8.209900e-02	5.847458e-03	5.847458e-03
-4.266667e-01	-2.133333e-01	6.129068e-02	5.038346e-03	5.038346e-03
-2.133333e-01	0.000000e+00	6.094459e-02	5.037413e-03	5.037413e-03
0.000000e+00	2.133333e-01	6.434785e-02	5.162520e-03	5.162520e-03
2.133333e-01	4.266667e-01	7.000470e-02	5.398802e-03	5.398802e-03
4.266667e-01	6.400000e-01	8.289081e-02	5.878100e-03	5.878100e-03
6.400000e-01	8.533333e-01	7.176925e-02	5.450161e-03	5.450161e-03
8.533333e-01	1.066667e+00	9.256972e-02	6.180186e-03	6.180186e-03
1.066667e+00	1.280000e+00	1.053172e-01	6.612961e-03	6.612961e-03
1.280000e+00	1.493333e+00	1.387039e-01	7.578425e-03	7.578425e-03
1.493333e+00	1.706667e+00	1.545075e-01	7.995328e-03	7.995328e-03
1.706667e+00	1.920000e+00	2.222589e-01	9.583897e-03	9.583897e-03
1.920000e+00	2.133333e+00	2.921378e-01	1.099101e-02	1.099101e-02
2.133333e+00	2.346667e+00	4.884627e-01	1.421982e-02	1.421982e-02
2.346667e+00	2.560000e+00	8.436323e-01	1.870754e-02	1.870754e-02
2.560000e+00	2.773333e+00	1.635441e+00	2.606435e-02	2.606435e-02
2.773333e+00	2.986667e+00	3.796344e+00	3.979102e-02	3.979102e-02
2.986667e+00	3.200000e+00	5.428762e+00	4.769223e-02	4.769223e-02
# END HISTO1D

