# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_eta_H1_boost_SIG
Path=/res/baseline_noPU_sideband/histo_eta_H1_boost_SIG
ScaledBy=1
Title=eta_H1_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	4.655125e-03	1.011902e-03	1.011902e-03
-2.000000e+00	-1.600000e+00	4.981168e-02	3.325169e-03	3.325169e-03
-1.600000e+00	-1.200000e+00	7.763775e-02	4.153131e-03	4.153131e-03
-1.200000e+00	-8.000000e-01	1.261338e-01	5.287746e-03	5.287746e-03
-8.000000e-01	-4.000000e-01	1.602529e-01	5.965165e-03	5.965165e-03
-4.000000e-01	0.000000e+00	1.929107e-01	6.549948e-03	6.549948e-03
0.000000e+00	4.000000e-01	1.792535e-01	6.318482e-03	6.318482e-03
4.000000e-01	8.000000e-01	1.638868e-01	6.033663e-03	6.033663e-03
8.000000e-01	1.200000e+00	1.327384e-01	5.430311e-03	5.430311e-03
1.200000e+00	1.600000e+00	8.188830e-02	4.257749e-03	4.257749e-03
1.600000e+00	2.000000e+00	4.521130e-02	3.160185e-03	3.160185e-03
2.000000e+00	2.400000e+00	6.984238e-03	1.239761e-03	1.239761e-03
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

