# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H0_res_SIG
Path=/res/baseline_noPU_sideband/histo_phi_H0_res_SIG
ScaledBy=1
Title=phi_H0_res_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	8.887424e-01	1.939893e-02	1.939893e-02
2.100000e-01	4.200000e-01	9.001800e-01	1.953103e-02	1.953103e-02
4.200000e-01	6.300000e-01	9.371481e-01	1.992720e-02	1.992720e-02
6.300000e-01	8.400000e-01	9.282533e-01	1.984149e-02	1.984149e-02
8.400000e-01	1.050000e+00	8.893081e-01	1.942484e-02	1.942484e-02
1.050000e+00	1.260000e+00	8.972052e-01	1.949352e-02	1.949352e-02
1.260000e+00	1.470000e+00	9.169624e-01	1.970312e-02	1.970312e-02
1.470000e+00	1.680000e+00	9.070390e-01	1.960280e-02	1.960280e-02
1.680000e+00	1.890000e+00	9.377095e-01	1.994021e-02	1.994021e-02
1.890000e+00	2.100000e+00	9.204319e-01	1.974885e-02	1.974885e-02
2.100000e+00	2.310000e+00	9.291600e-01	1.983883e-02	1.983883e-02
2.310000e+00	2.520000e+00	9.440690e-01	2.001026e-02	2.001026e-02
2.520000e+00	2.730000e+00	9.443419e-01	2.000179e-02	2.000179e-02
2.730000e+00	2.940000e+00	8.847262e-01	1.935108e-02	1.935108e-02
2.940000e+00	3.150000e+00	8.836390e-01	1.934518e-02	1.934518e-02
# END HISTO1D

