# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_pt_HH_inter_SIG
Path=/res/baseline_noPU_sideband/histo_pt_HH_inter_SIG
ScaledBy=1
Title=pt_HH_inter_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.074606e-03	9.788537e-05	9.788537e-05
1.000000e+01	2.000000e+01	2.564828e-03	1.511577e-04	1.511577e-04
2.000000e+01	3.000000e+01	3.856790e-03	1.854627e-04	1.854627e-04
3.000000e+01	4.000000e+01	3.846927e-03	1.848267e-04	1.848267e-04
4.000000e+01	5.000000e+01	4.029385e-03	1.891905e-04	1.891905e-04
5.000000e+01	6.000000e+01	3.570201e-03	1.780279e-04	1.780279e-04
6.000000e+01	7.000000e+01	3.259919e-03	1.698230e-04	1.698230e-04
7.000000e+01	8.000000e+01	3.189022e-03	1.680981e-04	1.680981e-04
8.000000e+01	9.000000e+01	2.967888e-03	1.619327e-04	1.619327e-04
9.000000e+01	1.000000e+02	2.552328e-03	1.498642e-04	1.498642e-04
1.000000e+02	1.100000e+02	2.347141e-03	1.439870e-04	1.439870e-04
1.100000e+02	1.200000e+02	1.976879e-03	1.318276e-04	1.318276e-04
1.200000e+02	1.300000e+02	1.725439e-03	1.231550e-04	1.231550e-04
1.300000e+02	1.400000e+02	1.455103e-03	1.134131e-04	1.134131e-04
1.400000e+02	1.500000e+02	8.995358e-04	8.872266e-05	8.872266e-05
1.500000e+02	1.600000e+02	7.933395e-04	8.347781e-05	8.347781e-05
1.600000e+02	1.700000e+02	8.832177e-04	8.824916e-05	8.824916e-05
1.700000e+02	1.800000e+02	8.752937e-04	8.821150e-05	8.821150e-05
1.800000e+02	1.900000e+02	6.492430e-04	7.573355e-05	7.573355e-05
1.900000e+02	2.000000e+02	6.084484e-04	7.352162e-05	7.352162e-05
2.000000e+02	2.100000e+02	5.792081e-04	7.182312e-05	7.182312e-05
2.100000e+02	2.200000e+02	4.690185e-04	6.463422e-05	6.463422e-05
2.200000e+02	2.300000e+02	2.717679e-04	4.877190e-05	4.877190e-05
2.300000e+02	2.400000e+02	2.138555e-04	4.341676e-05	4.341676e-05
2.400000e+02	2.500000e+02	2.954031e-04	5.120045e-05	5.120045e-05
2.500000e+02	2.600000e+02	2.304704e-04	4.524771e-05	4.524771e-05
2.600000e+02	2.700000e+02	3.015840e-04	5.196820e-05	5.196820e-05
2.700000e+02	2.800000e+02	2.306739e-04	4.526070e-05	4.526070e-05
2.800000e+02	2.900000e+02	8.270662e-05	2.714037e-05	2.714037e-05
2.900000e+02	3.000000e+02	1.566118e-04	3.731701e-05	3.731701e-05
# END HISTO1D

