# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_split12_fj1_boost_SDB
Path=/res/baseline_noPU_sideband/histo_split12_fj1_boost_SDB
ScaledBy=1
Title=split12_fj1_boost_SDB
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e+00	1.333333e+01	4.240279e-09	2.998330e-09	2.998330e-09
1.333333e+01	2.000000e+01	6.878805e-05	3.034332e-05	3.034332e-05
2.000000e+01	2.666667e+01	1.526617e-04	4.306197e-05	4.306197e-05
2.666667e+01	3.333333e+01	2.330477e-04	5.277036e-05	5.277036e-05
3.333333e+01	4.000000e+01	3.038988e-04	5.949348e-05	5.949348e-05
4.000000e+01	4.666667e+01	4.266622e-04	7.203335e-05	7.203335e-05
4.666667e+01	5.333333e+01	4.229067e-04	7.199318e-05	7.199318e-05
5.333333e+01	6.000000e+01	6.655033e-04	9.124302e-05	9.124302e-05
6.000000e+01	6.666667e+01	7.891360e-04	9.909027e-05	9.909027e-05
6.666667e+01	7.333333e+01	6.842987e-04	9.137394e-05	9.137394e-05
7.333333e+01	8.000000e+01	9.501934e-04	1.096131e-04	1.096131e-04
8.000000e+01	8.666667e+01	9.193941e-04	1.063896e-04	1.063896e-04
8.666667e+01	9.333333e+01	8.820648e-04	1.053301e-04	1.053301e-04
9.333333e+01	1.000000e+02	9.981867e-04	1.121562e-04	1.121562e-04
1.000000e+02	1.066667e+02	8.983253e-04	1.062266e-04	1.062266e-04
1.066667e+02	1.133333e+02	5.947907e-04	8.600376e-05	8.600376e-05
1.133333e+02	1.200000e+02	8.466846e-04	1.043726e-04	1.043726e-04
1.200000e+02	1.266667e+02	7.291362e-04	9.702578e-05	9.702578e-05
1.266667e+02	1.333333e+02	4.707253e-04	7.802185e-05	7.802185e-05
1.333333e+02	1.400000e+02	3.764272e-04	6.929032e-05	6.929032e-05
1.400000e+02	1.466667e+02	4.294095e-04	7.443125e-05	7.443125e-05
1.466667e+02	1.533333e+02	3.375677e-04	6.652750e-05	6.652750e-05
1.533333e+02	1.600000e+02	1.660339e-04	4.517656e-05	4.517656e-05
1.600000e+02	1.666667e+02	2.834506e-05	1.403234e-05	1.403234e-05
1.666667e+02	1.733333e+02	1.095546e-04	3.611326e-05	3.611326e-05
1.733333e+02	1.800000e+02	1.026000e-04	3.595278e-05	3.595278e-05
1.800000e+02	1.866667e+02	7.607894e-05	3.044707e-05	3.044707e-05
1.866667e+02	1.933333e+02	3.265915e-05	1.927948e-05	1.927948e-05
1.933333e+02	2.000000e+02	5.765587e-05	2.714714e-05	2.714714e-05
# END HISTO1D

