# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_m_H0_inter_SIG
Path=/res/baseline_noPU_sideband/histo_m_H0_inter_SIG
ScaledBy=1
Title=m_H0_inter_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	2.036755e-04	1.951425e-05	1.951425e-05
9.000000e+01	9.600000e+01	2.629173e-04	2.222116e-05	2.222116e-05
9.600000e+01	1.020000e+02	3.416627e-04	2.551998e-05	2.551998e-05
1.020000e+02	1.080000e+02	5.817640e-04	3.368533e-05	3.368533e-05
1.080000e+02	1.140000e+02	1.218452e-03	4.904282e-05	4.904282e-05
1.140000e+02	1.200000e+02	3.313997e-03	8.107461e-05	8.107461e-05
1.200000e+02	1.260000e+02	5.723847e-03	1.065908e-04	1.065908e-04
1.260000e+02	1.320000e+02	4.152952e-03	9.074627e-05	9.074627e-05
1.320000e+02	1.380000e+02	1.903057e-03	6.136195e-05	6.136195e-05
1.380000e+02	1.440000e+02	6.136068e-04	3.474112e-05	3.474112e-05
1.440000e+02	1.500000e+02	2.581813e-04	2.246553e-05	2.246553e-05
1.500000e+02	1.560000e+02	1.449760e-04	1.669984e-05	1.669984e-05
1.560000e+02	1.620000e+02	1.193525e-04	1.506054e-05	1.506054e-05
1.620000e+02	1.680000e+02	4.507133e-05	9.224239e-06	9.224239e-06
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

