# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H0_inter_SIG
Path=/res/baseline_noPU_sideband/histo_phi_H0_inter_SIG
ScaledBy=1
Title=phi_H0_inter_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.731956e-02	9.875793e-04	9.875793e-04
2.100000e-01	4.200000e-01	1.900050e-02	1.036331e-03	1.036331e-03
4.200000e-01	6.300000e-01	1.871995e-02	1.026938e-03	1.026938e-03
6.300000e-01	8.400000e-01	1.660570e-02	9.688769e-04	9.688769e-04
8.400000e-01	1.050000e+00	1.926683e-02	1.044079e-03	1.044079e-03
1.050000e+00	1.260000e+00	1.937916e-02	1.044495e-03	1.044495e-03
1.260000e+00	1.470000e+00	1.645337e-02	9.638470e-04	9.638470e-04
1.470000e+00	1.680000e+00	1.612671e-02	9.519451e-04	9.519451e-04
1.680000e+00	1.890000e+00	1.707010e-02	9.808834e-04	9.808834e-04
1.890000e+00	2.100000e+00	1.959270e-02	1.053488e-03	1.053488e-03
2.100000e+00	2.310000e+00	1.830892e-02	1.017095e-03	1.017095e-03
2.310000e+00	2.520000e+00	1.829786e-02	1.016955e-03	1.016955e-03
2.520000e+00	2.730000e+00	1.994874e-02	1.061512e-03	1.061512e-03
2.730000e+00	2.940000e+00	1.733591e-02	9.891826e-04	9.891826e-04
2.940000e+00	3.150000e+00	1.816504e-02	1.013706e-03	1.013706e-03
# END HISTO1D

