# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H1_boost_SIG
Path=/res/baseline_noPU_sideband/histo_phi_H1_boost_SIG
ScaledBy=1
Title=phi_H1_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	2.386032e-02	1.162109e-03	1.162109e-03
2.100000e-01	4.200000e-01	2.129481e-02	1.096641e-03	1.096641e-03
4.200000e-01	6.300000e-01	2.321637e-02	1.146441e-03	1.146441e-03
6.300000e-01	8.400000e-01	2.281661e-02	1.135040e-03	1.135040e-03
8.400000e-01	1.050000e+00	2.256562e-02	1.129136e-03	1.129136e-03
1.050000e+00	1.260000e+00	2.367920e-02	1.157850e-03	1.157850e-03
1.260000e+00	1.470000e+00	2.425566e-02	1.170729e-03	1.170729e-03
1.470000e+00	1.680000e+00	2.372418e-02	1.157923e-03	1.157923e-03
1.680000e+00	1.890000e+00	2.418354e-02	1.170470e-03	1.170470e-03
1.890000e+00	2.100000e+00	2.255206e-02	1.129071e-03	1.129071e-03
2.100000e+00	2.310000e+00	2.316463e-02	1.143728e-03	1.143728e-03
2.310000e+00	2.520000e+00	2.454019e-02	1.178938e-03	1.178938e-03
2.520000e+00	2.730000e+00	2.549021e-02	1.201191e-03	1.201191e-03
2.730000e+00	2.940000e+00	2.238028e-02	1.124772e-03	1.124772e-03
2.940000e+00	3.150000e+00	2.272787e-02	1.133477e-03	1.133477e-03
# END HISTO1D

