# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_dEta_HH_res_RCO
Path=/res/baseline_noPU_sideband/histo_dEta_HH_res_RCO
ScaledBy=1
Title=dEta_HH_res_RCO
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.666667e-01	7.761328e-01	6.896058e-03	6.896058e-03
1.666667e-01	3.333333e-01	7.359141e-01	6.710176e-03	6.710176e-03
3.333333e-01	5.000000e-01	7.100921e-01	6.591855e-03	6.591855e-03
5.000000e-01	6.666667e-01	6.460073e-01	6.279356e-03	6.279356e-03
6.666667e-01	8.333333e-01	5.814641e-01	5.952438e-03	5.952438e-03
8.333333e-01	1.000000e+00	5.135764e-01	5.592321e-03	5.592321e-03
1.000000e+00	1.166667e+00	4.448725e-01	5.196148e-03	5.196148e-03
1.166667e+00	1.333333e+00	3.788356e-01	4.788618e-03	4.788618e-03
1.333333e+00	1.500000e+00	3.074584e-01	4.301539e-03	4.301539e-03
1.500000e+00	1.666667e+00	2.536890e-01	3.902950e-03	3.902950e-03
1.666667e+00	1.833333e+00	2.089158e-01	3.530639e-03	3.530639e-03
1.833333e+00	2.000000e+00	1.755330e-01	3.230687e-03	3.230687e-03
2.000000e+00	2.166667e+00	1.395329e-01	2.871472e-03	2.871472e-03
2.166667e+00	2.333333e+00	1.116999e-01	2.559099e-03	2.559099e-03
2.333333e+00	2.500000e+00	9.382337e-02	2.339388e-03	2.339388e-03
# END HISTO1D

