# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H1_boost_SIG
Path=/res/baseline_noPU_sideband/histo_phi_H1_boost_SIG
ScaledBy=1
Title=phi_H1_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	2.072459e-02	1.012700e-03	1.012700e-03
2.100000e-01	4.200000e-01	2.159131e-02	1.034737e-03	1.034737e-03
4.200000e-01	6.300000e-01	2.220699e-02	1.049323e-03	1.049323e-03
6.300000e-01	8.400000e-01	2.267431e-02	1.060162e-03	1.060162e-03
8.400000e-01	1.050000e+00	2.086194e-02	1.015253e-03	1.015253e-03
1.050000e+00	1.260000e+00	2.092410e-02	1.017619e-03	1.017619e-03
1.260000e+00	1.470000e+00	2.423412e-02	1.097461e-03	1.097461e-03
1.470000e+00	1.680000e+00	2.069233e-02	1.011406e-03	1.011406e-03
1.680000e+00	1.890000e+00	2.214763e-02	1.046978e-03	1.046978e-03
1.890000e+00	2.100000e+00	2.210822e-02	1.045844e-03	1.045844e-03
2.100000e+00	2.310000e+00	1.926086e-02	9.758214e-04	9.758214e-04
2.310000e+00	2.520000e+00	2.374267e-02	1.084872e-03	1.084872e-03
2.520000e+00	2.730000e+00	2.279760e-02	1.062563e-03	1.062563e-03
2.730000e+00	2.940000e+00	2.207510e-02	1.045748e-03	1.045748e-03
2.940000e+00	3.150000e+00	2.047144e-02	1.006397e-03	1.006397e-03
# END HISTO1D

