# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H1_res_SIG
Path=/res/baseline_noPU_sideband/histo_phi_H1_res_SIG
ScaledBy=1
Title=phi_H1_res_SIG
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.267398e-01	2.505804e-03	2.505804e-03
2.100000e-01	4.200000e-01	1.262718e-01	2.503508e-03	2.503508e-03
4.200000e-01	6.300000e-01	1.289043e-01	2.528669e-03	2.528669e-03
6.300000e-01	8.400000e-01	1.275473e-01	2.516135e-03	2.516135e-03
8.400000e-01	1.050000e+00	1.284314e-01	2.523705e-03	2.523705e-03
1.050000e+00	1.260000e+00	1.251008e-01	2.490006e-03	2.490006e-03
1.260000e+00	1.470000e+00	1.299720e-01	2.537788e-03	2.537788e-03
1.470000e+00	1.680000e+00	1.294419e-01	2.533271e-03	2.533271e-03
1.680000e+00	1.890000e+00	1.270986e-01	2.510207e-03	2.510207e-03
1.890000e+00	2.100000e+00	1.296898e-01	2.535732e-03	2.535732e-03
2.100000e+00	2.310000e+00	1.296344e-01	2.537445e-03	2.537445e-03
2.310000e+00	2.520000e+00	1.289419e-01	2.529222e-03	2.529222e-03
2.520000e+00	2.730000e+00	1.272128e-01	2.511257e-03	2.511257e-03
2.730000e+00	2.940000e+00	1.288510e-01	2.526830e-03	2.526830e-03
2.940000e+00	3.150000e+00	1.252168e-01	2.490621e-03	2.490621e-03
# END HISTO1D

