# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_pt_H0_res_SDB
Path=/res/baseline_noPU_sideband/histo_pt_H0_res_SDB
ScaledBy=1
Title=pt_H0_res_SDB
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	9.965447e-05	5.002859e-06	5.002859e-06
3.000000e+01	6.000000e+01	6.202587e-04	1.235679e-05	1.235679e-05
6.000000e+01	9.000000e+01	1.050350e-03	1.593210e-05	1.593210e-05
9.000000e+01	1.200000e+02	1.230126e-03	1.714016e-05	1.714016e-05
1.200000e+02	1.500000e+02	1.090963e-03	1.590219e-05	1.590219e-05
1.500000e+02	1.800000e+02	8.371040e-04	1.369465e-05	1.369465e-05
1.800000e+02	2.100000e+02	6.501433e-04	1.193612e-05	1.193612e-05
2.100000e+02	2.400000e+02	4.841530e-04	1.022154e-05	1.022154e-05
2.400000e+02	2.700000e+02	3.578927e-04	8.725221e-06	8.725221e-06
2.700000e+02	3.000000e+02	2.545720e-04	7.357796e-06	7.357796e-06
3.000000e+02	3.300000e+02	2.070889e-04	6.645496e-06	6.645496e-06
3.300000e+02	3.600000e+02	1.452164e-04	5.509588e-06	5.509588e-06
3.600000e+02	3.900000e+02	1.073898e-04	4.705797e-06	4.705797e-06
3.900000e+02	4.200000e+02	8.370930e-05	4.175468e-06	4.175468e-06
4.200000e+02	4.500000e+02	6.312170e-05	3.582366e-06	3.582366e-06
4.500000e+02	4.800000e+02	4.812790e-05	3.094988e-06	3.094988e-06
4.800000e+02	5.100000e+02	4.101243e-05	2.888872e-06	2.888872e-06
5.100000e+02	5.400000e+02	3.181939e-05	2.523417e-06	2.523417e-06
5.400000e+02	5.700000e+02	2.409764e-05	2.190192e-06	2.190192e-06
5.700000e+02	6.000000e+02	2.106315e-05	2.069316e-06	2.069316e-06
6.000000e+02	6.300000e+02	1.563252e-05	1.772560e-06	1.772560e-06
6.300000e+02	6.600000e+02	1.233433e-05	1.559467e-06	1.559467e-06
6.600000e+02	6.900000e+02	1.132793e-05	1.532567e-06	1.532567e-06
6.900000e+02	7.200000e+02	5.810920e-06	1.005524e-06	1.005524e-06
7.200000e+02	7.500000e+02	5.850207e-06	1.068840e-06	1.068840e-06
7.500000e+02	7.800000e+02	4.704813e-06	9.324251e-07	9.324251e-07
7.800000e+02	8.100000e+02	4.092393e-06	8.511227e-07	8.511227e-07
8.100000e+02	8.400000e+02	2.002333e-06	5.444648e-07	5.444648e-07
8.400000e+02	8.700000e+02	2.837087e-06	7.122514e-07	7.122514e-07
8.700000e+02	9.000000e+02	1.841647e-06	5.412761e-07	5.412761e-07
# END HISTO1D

