# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_C2_fj2_boost_SIG
Path=/res/baseline_noPU_sideband/histo_C2_fj2_boost_SIG
ScaledBy=1
Title=C2_fj2_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	5.696349e-01	1.105546e-02	1.105546e-02
1.666667e-02	3.333333e-02	8.197581e-01	1.325694e-02	1.325694e-02
3.333333e-02	5.000000e-02	7.216355e-01	1.242766e-02	1.242766e-02
5.000000e-02	6.666667e-02	5.959905e-01	1.129314e-02	1.129314e-02
6.666667e-02	8.333333e-02	4.989313e-01	1.032412e-02	1.032412e-02
8.333333e-02	1.000000e-01	4.138026e-01	9.394019e-03	9.394019e-03
1.000000e-01	1.166667e-01	3.336824e-01	8.424678e-03	8.424678e-03
1.166667e-01	1.333333e-01	2.777064e-01	7.680068e-03	7.680068e-03
1.333333e-01	1.500000e-01	2.343099e-01	7.052373e-03	7.052373e-03
1.500000e-01	1.666667e-01	2.006749e-01	6.518647e-03	6.518647e-03
1.666667e-01	1.833333e-01	1.669090e-01	5.936921e-03	5.936921e-03
1.833333e-01	2.000000e-01	1.437027e-01	5.506188e-03	5.506188e-03
2.000000e-01	2.166667e-01	1.074780e-01	4.754307e-03	4.754307e-03
2.166667e-01	2.333333e-01	9.828627e-02	4.548994e-03	4.548994e-03
2.333333e-01	2.500000e-01	7.841084e-02	4.057601e-03	4.057601e-03
2.500000e-01	2.666667e-01	6.319223e-02	3.635117e-03	3.635117e-03
2.666667e-01	2.833333e-01	5.068549e-02	3.256534e-03	3.256534e-03
2.833333e-01	3.000000e-01	4.275684e-02	2.988618e-03	2.988618e-03
3.000000e-01	3.166667e-01	3.516606e-02	2.702880e-03	2.702880e-03
3.166667e-01	3.333333e-01	2.674629e-02	2.353897e-03	2.353897e-03
3.333333e-01	3.500000e-01	2.314465e-02	2.199228e-03	2.199228e-03
3.500000e-01	3.666667e-01	1.738885e-02	1.904566e-03	1.904566e-03
3.666667e-01	3.833333e-01	1.010300e-02	1.446495e-03	1.446495e-03
3.833333e-01	4.000000e-01	8.266909e-03	1.311920e-03	1.311920e-03
4.000000e-01	4.166667e-01	6.109650e-03	1.121316e-03	1.121316e-03
4.166667e-01	4.333333e-01	4.343222e-03	9.411169e-04	9.411169e-04
4.333333e-01	4.500000e-01	2.538680e-03	7.159814e-04	7.159814e-04
4.500000e-01	4.666667e-01	1.617651e-03	5.710032e-04	5.710032e-04
4.666667e-01	4.833333e-01	7.337369e-04	3.753256e-04	3.753256e-04
4.833333e-01	5.000000e-01	4.634742e-04	3.049148e-04	3.049148e-04
5.000000e-01	5.166667e-01	4.534393e-04	3.048740e-04	3.048740e-04
5.166667e-01	5.333333e-01	6.546716e-04	3.732993e-04	3.732993e-04
5.333333e-01	5.500000e-01	2.266861e-04	2.155740e-04	2.155740e-04
5.500000e-01	5.666667e-01	3.367287e-08	3.367287e-08	3.367287e-08
5.666667e-01	5.833333e-01	2.155413e-04	2.155076e-04	2.155076e-04
5.833333e-01	6.000000e-01	5.387659e-06	3.809650e-06	3.809650e-06
6.000000e-01	6.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.166667e-01	6.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.333333e-01	6.500000e-01	3.367287e-08	3.367287e-08	3.367287e-08
6.500000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	6.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.833333e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

