# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_dEta_HH_boost_RCO
Path=/res/baseline_noPU_sideband/histo_dEta_HH_boost_RCO
ScaledBy=1
Title=dEta_HH_boost_RCO
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.666667e-01	1.045260e-01	1.489103e-03	1.489103e-03
1.666667e-01	3.333333e-01	9.856906e-02	1.446036e-03	1.446036e-03
3.333333e-01	5.000000e-01	9.062590e-02	1.386588e-03	1.386588e-03
5.000000e-01	6.666667e-01	8.221942e-02	1.321135e-03	1.321135e-03
6.666667e-01	8.333333e-01	6.815343e-02	1.202884e-03	1.202884e-03
8.333333e-01	1.000000e+00	5.463538e-02	1.076108e-03	1.076108e-03
1.000000e+00	1.166667e+00	4.270581e-02	9.506943e-04	9.506943e-04
1.166667e+00	1.333333e+00	3.047971e-02	8.025162e-04	8.025162e-04
1.333333e+00	1.500000e+00	2.287320e-02	6.956869e-04	6.956869e-04
1.500000e+00	1.666667e+00	1.595255e-02	5.805913e-04	5.805913e-04
1.666667e+00	1.833333e+00	1.111917e-02	4.845534e-04	4.845534e-04
1.833333e+00	2.000000e+00	7.449663e-03	3.964649e-04	3.964649e-04
2.000000e+00	2.166667e+00	4.225892e-03	2.980379e-04	2.980379e-04
2.166667e+00	2.333333e+00	2.829092e-03	2.439504e-04	2.439504e-04
2.333333e+00	2.500000e+00	1.725496e-03	1.904289e-04	1.904289e-04
# END HISTO1D

