# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_m_H1_res_SIG
Path=/res/baseline_noPU_sideband/histo_m_H1_res_SIG
ScaledBy=1
Title=m_H1_res_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	5.524205e-04	1.564780e-05	1.564780e-05
9.000000e+01	9.600000e+01	1.092461e-03	2.208787e-05	2.208787e-05
9.600000e+01	1.020000e+02	1.783757e-03	2.832180e-05	2.832180e-05
1.020000e+02	1.080000e+02	3.226072e-03	3.817681e-05	3.817681e-05
1.080000e+02	1.140000e+02	5.895113e-03	5.170010e-05	5.170010e-05
1.140000e+02	1.200000e+02	1.002232e-02	6.746287e-05	6.746287e-05
1.200000e+02	1.260000e+02	1.052806e-02	6.914674e-05	6.914674e-05
1.260000e+02	1.320000e+02	5.586835e-03	5.031956e-05	5.031956e-05
1.320000e+02	1.380000e+02	1.955430e-03	2.966632e-05	2.966632e-05
1.380000e+02	1.440000e+02	7.915072e-04	1.869909e-05	1.869909e-05
1.440000e+02	1.500000e+02	5.589837e-04	1.561579e-05	1.561579e-05
1.500000e+02	1.560000e+02	4.606422e-04	1.413022e-05	1.413022e-05
1.560000e+02	1.620000e+02	3.798232e-04	1.276057e-05	1.276057e-05
1.620000e+02	1.680000e+02	1.697710e-04	8.506045e-06	8.506045e-06
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

