# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_phi_H0_inter_SDB
Path=/res/baseline_noPU_sideband/histo_phi_H0_inter_SDB
ScaledBy=1
Title=phi_H0_inter_SDB
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.794421e-03	1.354254e-04	1.354254e-04
2.100000e-01	4.200000e-01	1.573069e-03	1.267069e-04	1.267069e-04
4.200000e-01	6.300000e-01	1.710258e-03	1.321568e-04	1.321568e-04
6.300000e-01	8.400000e-01	1.885151e-03	1.397750e-04	1.397750e-04
8.400000e-01	1.050000e+00	1.730406e-03	1.339628e-04	1.339628e-04
1.050000e+00	1.260000e+00	1.951486e-03	1.438383e-04	1.438383e-04
1.260000e+00	1.470000e+00	1.803692e-03	1.382879e-04	1.382879e-04
1.470000e+00	1.680000e+00	1.615554e-03	1.281919e-04	1.281919e-04
1.680000e+00	1.890000e+00	1.694819e-03	1.320028e-04	1.320028e-04
1.890000e+00	2.100000e+00	1.855413e-03	1.390272e-04	1.390272e-04
2.100000e+00	2.310000e+00	1.574909e-03	1.255380e-04	1.255380e-04
2.310000e+00	2.520000e+00	2.001019e-03	1.456475e-04	1.456475e-04
2.520000e+00	2.730000e+00	1.894847e-03	1.414694e-04	1.414694e-04
2.730000e+00	2.940000e+00	1.618501e-03	1.299777e-04	1.299777e-04
2.940000e+00	3.150000e+00	1.835871e-03	1.399875e-04	1.399875e-04
# END HISTO1D

