# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_dR_HH_boost_SIG
Path=/res/baseline_noPU_sideband/histo_dR_HH_boost_SIG
ScaledBy=1
Title=dR_HH_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.666667e-01	3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333333e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.166667e+00	1.508048e-04	1.053267e-04	1.053267e-04
1.166667e+00	1.333333e+00	3.742211e-04	1.665293e-04	1.665293e-04
1.333333e+00	1.500000e+00	4.496329e-04	1.824241e-04	1.824241e-04
1.500000e+00	1.666667e+00	3.780006e-04	1.665388e-04	1.665388e-04
1.666667e+00	1.833333e+00	7.681435e-04	2.358776e-04	2.358776e-04
1.833333e+00	2.000000e+00	1.139649e-03	2.885977e-04	2.885977e-04
2.000000e+00	2.166667e+00	1.508237e-03	3.331893e-04	3.331893e-04
2.166667e+00	2.333333e+00	2.962272e-03	4.653013e-04	4.653013e-04
2.333333e+00	2.500000e+00	6.079482e-03	6.665871e-04	6.665871e-04
2.500000e+00	2.666667e+00	1.017696e-02	8.654791e-04	8.654791e-04
2.666667e+00	2.833333e+00	1.881647e-02	1.171248e-03	1.171248e-03
2.833333e+00	3.000000e+00	4.015612e-02	1.715213e-03	1.715213e-03
3.000000e+00	3.166667e+00	9.772078e-02	2.679861e-03	2.679861e-03
3.166667e+00	3.333333e+00	3.679802e-02	1.645571e-03	1.645571e-03
3.333333e+00	3.500000e+00	1.128139e-02	9.093894e-04	9.093894e-04
3.500000e+00	3.666667e+00	4.464862e-03	5.722865e-04	5.722865e-04
3.666667e+00	3.833333e+00	1.611989e-03	3.416786e-04	3.416786e-04
3.833333e+00	4.000000e+00	8.277433e-04	2.470089e-04	2.470089e-04
4.000000e+00	4.166667e+00	3.781888e-04	1.665378e-04	1.665378e-04
4.166667e+00	4.333333e+00	2.251742e-04	1.289927e-04	1.289927e-04
4.333333e+00	4.500000e+00	7.654413e-05	7.448315e-05	7.448315e-05
4.500000e+00	4.666667e+00	4.843551e-08	2.331908e-08	2.331908e-08
4.666667e+00	4.833333e+00	1.163623e-08	1.163623e-08	1.163623e-08
4.833333e+00	5.000000e+00	9.308927e-07	9.308927e-07	9.308927e-07
# END HISTO1D

