# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_eta_H0_res_SDB
Path=/res/baseline_noPU_sideband/histo_eta_H0_res_SDB
ScaledBy=1
Title=eta_H0_res_SDB
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	3.878728e-07	3.878727e-07	3.878727e-07
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	4.683563e-06	3.917340e-06	3.917340e-06
-4.400000e+00	-4.000000e+00	7.114682e-05	4.392225e-05	4.392225e-05
-4.000000e+00	-3.600000e+00	3.817163e-04	1.031859e-04	1.031859e-04
-3.600000e+00	-3.200000e+00	1.033275e-03	1.623040e-04	1.623040e-04
-3.200000e+00	-2.800000e+00	3.939765e-03	3.225854e-04	3.225854e-04
-2.800000e+00	-2.400000e+00	9.239275e-03	4.811924e-04	4.811924e-04
-2.400000e+00	-2.000000e+00	2.035351e-02	7.259078e-04	7.259078e-04
-2.000000e+00	-1.600000e+00	3.419928e-02	9.503088e-04	9.503088e-04
-1.600000e+00	-1.200000e+00	4.441600e-02	1.094436e-03	1.094436e-03
-1.200000e+00	-8.000000e-01	4.747213e-02	1.128260e-03	1.128260e-03
-8.000000e-01	-4.000000e-01	4.854352e-02	1.145286e-03	1.145286e-03
-4.000000e-01	0.000000e+00	4.859725e-02	1.147380e-03	1.147380e-03
0.000000e+00	4.000000e-01	4.668547e-02	1.123010e-03	1.123010e-03
4.000000e-01	8.000000e-01	4.628707e-02	1.112654e-03	1.112654e-03
8.000000e-01	1.200000e+00	4.693073e-02	1.123335e-03	1.123335e-03
1.200000e+00	1.600000e+00	4.334837e-02	1.075483e-03	1.075483e-03
1.600000e+00	2.000000e+00	3.411583e-02	9.520137e-04	9.520137e-04
2.000000e+00	2.400000e+00	2.251171e-02	7.704209e-04	7.704209e-04
2.400000e+00	2.800000e+00	9.808695e-03	4.997508e-04	4.997508e-04
2.800000e+00	3.200000e+00	3.507972e-03	3.008793e-04	3.008793e-04
3.200000e+00	3.600000e+00	1.298221e-03	1.846780e-04	1.846780e-04
3.600000e+00	4.000000e+00	2.302182e-04	7.638443e-05	7.638443e-05
4.000000e+00	4.400000e+00	7.378332e-05	4.408802e-05	4.408802e-05
4.400000e+00	4.800000e+00	3.300313e-05	3.104194e-05	3.104194e-05
4.800000e+00	5.200000e+00	3.975695e-07	3.879333e-07	3.879333e-07
5.200000e+00	5.600000e+00	7.805938e-07	5.485563e-07	5.485563e-07
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

