# BEGIN HISTO1D /res/baseline_noPU_sideband/histo_C2_fj1_boost_SIG
Path=/res/baseline_noPU_sideband/histo_C2_fj1_boost_SIG
ScaledBy=1
Title=C2_fj1_boost_SIG
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	9.093250e-01	6.124286e-02	6.124286e-02
1.666667e-02	3.333333e-02	1.236036e+00	7.133715e-02	7.133715e-02
3.333333e-02	5.000000e-02	9.031480e-01	6.069997e-02	6.069997e-02
5.000000e-02	6.666667e-02	7.859776e-01	5.669106e-02	5.669106e-02
6.666667e-02	8.333333e-02	5.732888e-01	4.826098e-02	4.826098e-02
8.333333e-02	1.000000e-01	4.731312e-01	4.373808e-02	4.373808e-02
1.000000e-01	1.166667e-01	3.892166e-01	3.976202e-02	3.976202e-02
1.166667e-01	1.333333e-01	3.648681e-01	3.843713e-02	3.843713e-02
1.333333e-01	1.500000e-01	2.379059e-01	3.066608e-02	3.066608e-02
1.500000e-01	1.666667e-01	2.046311e-01	2.859570e-02	2.859570e-02
1.666667e-01	1.833333e-01	2.232710e-01	2.980731e-02	2.980731e-02
1.833333e-01	2.000000e-01	1.270668e-01	2.245921e-02	2.245921e-02
2.000000e-01	2.166667e-01	1.177827e-01	2.166576e-02	2.166576e-02
2.166667e-01	2.333333e-01	9.649071e-02	1.956639e-02	1.956639e-02
2.333333e-01	2.500000e-01	8.439763e-02	1.819440e-02	1.819440e-02
2.500000e-01	2.666667e-01	6.095136e-02	1.560071e-02	1.560071e-02
2.666667e-01	2.833333e-01	3.740236e-02	1.182379e-02	1.182379e-02
2.833333e-01	3.000000e-01	2.825647e-02	1.023722e-02	1.023722e-02
3.000000e-01	3.166667e-01	2.776026e-02	1.023588e-02	1.023588e-02
3.166667e-01	3.333333e-01	2.752939e-02	1.023521e-02	1.023521e-02
3.333333e-01	3.500000e-01	2.250504e-02	9.346647e-03	9.346647e-03
3.500000e-01	3.666667e-01	1.770942e-02	8.350192e-03	8.350192e-03
3.666667e-01	3.833333e-01	5.206721e-03	4.201614e-03	4.201614e-03
3.833333e-01	4.000000e-01	8.726413e-03	5.893557e-03	5.893557e-03
4.000000e-01	4.166667e-01	4.362660e-04	1.474710e-04	1.474710e-04
4.166667e-01	4.333333e-01	7.454748e-04	5.311771e-04	5.311771e-04
4.333333e-01	4.500000e-01	8.510833e-03	5.892758e-03	5.892758e-03
4.500000e-01	4.666667e-01	1.577064e-04	9.020754e-05	9.020754e-05
4.666667e-01	4.833333e-01	5.477160e-05	5.209452e-05	5.209452e-05
4.833333e-01	5.000000e-01	4.218958e-03	4.166555e-03	4.166555e-03
5.000000e-01	5.166667e-01	4.167531e-03	4.166229e-03	4.166229e-03
5.166667e-01	5.333333e-01	5.273729e-05	5.208225e-05	5.208225e-05
5.333333e-01	5.500000e-01	6.509735e-07	6.509733e-07	6.509733e-07
5.500000e-01	5.666667e-01	6.509735e-07	6.509733e-07	6.509733e-07
5.666667e-01	5.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.833333e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.166667e-01	6.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.333333e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	6.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.833333e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

