# BEGIN HISTO1D /res/oxford/histo_pt_leadSJ_fj2_boost_C2
Path=/res/oxford/histo_pt_leadSJ_fj2_boost_C2
Title=pt_leadSJ_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.450851e-09	1.132657e-09	1.132657e-09
6.000000e+01	9.000000e+01	4.229533e-05	5.352993e-06	5.352993e-06
9.000000e+01	1.200000e+02	3.339983e-04	1.516617e-05	1.516617e-05
1.200000e+02	1.500000e+02	1.155005e-03	2.845079e-05	2.845079e-05
1.500000e+02	1.800000e+02	1.477715e-03	3.224369e-05	3.224369e-05
1.800000e+02	2.100000e+02	1.255636e-03	2.976204e-05	2.976204e-05
2.100000e+02	2.400000e+02	8.913270e-04	2.508795e-05	2.508795e-05
2.400000e+02	2.700000e+02	5.352077e-04	1.943716e-05	1.943716e-05
2.700000e+02	3.000000e+02	3.487230e-04	1.568693e-05	1.568693e-05
3.000000e+02	3.300000e+02	1.869515e-04	1.147788e-05	1.147788e-05
3.300000e+02	3.600000e+02	1.335773e-04	9.717559e-06	9.717559e-06
3.600000e+02	3.900000e+02	7.305407e-05	7.180340e-06	7.180340e-06
3.900000e+02	4.200000e+02	4.842407e-05	5.848161e-06	5.848161e-06
4.200000e+02	4.500000e+02	2.969068e-05	4.574707e-06	4.574707e-06
4.500000e+02	4.800000e+02	2.459885e-05	4.166895e-06	4.166895e-06
4.800000e+02	5.100000e+02	2.227370e-05	3.977002e-06	3.977002e-06
5.100000e+02	5.400000e+02	5.774053e-06	2.020378e-06	2.020378e-06
5.400000e+02	5.700000e+02	6.492003e-06	2.142926e-06	2.142926e-06
5.700000e+02	6.000000e+02	4.294967e-06	1.749608e-06	1.749608e-06
6.000000e+02	6.300000e+02	1.456320e-06	1.010242e-06	1.010242e-06
6.300000e+02	6.600000e+02	7.142653e-07	7.142653e-07	7.142653e-07
6.600000e+02	6.900000e+02	1.437682e-06	1.010163e-06	1.010163e-06
6.900000e+02	7.200000e+02	1.116040e-10	1.116040e-10	1.116040e-10
7.200000e+02	7.500000e+02	8.928317e-09	8.928316e-09	8.928316e-09
7.500000e+02	7.800000e+02	2.232079e-10	1.578318e-10	1.578318e-10
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	8.928317e-08	8.928316e-08	8.928316e-08
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

