# BEGIN HISTO1D /res/oxford/histo_D2_fj_inter_C1d
Path=/res/oxford/histo_D2_fj_inter_C1d
Title=D2_fj_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	2.232360e+00	1.274075e-01	1.274075e-01
1.666667e-02	3.333333e-02	2.014215e+00	1.210224e-01	1.210224e-01
3.333333e-02	5.000000e-02	3.090400e+00	1.499064e-01	1.499064e-01
5.000000e-02	6.666667e-02	3.541235e+00	1.604687e-01	1.604687e-01
6.666667e-02	8.333333e-02	4.122959e+00	1.731480e-01	1.731480e-01
8.333333e-02	1.000000e-01	4.711951e+00	1.851029e-01	1.851029e-01
1.000000e-01	1.166667e-01	5.242763e+00	1.952507e-01	1.952507e-01
1.166667e-01	1.333333e-01	5.199165e+00	1.944377e-01	1.944377e-01
1.333333e-01	1.500000e-01	5.519081e+00	2.003299e-01	2.003299e-01
1.500000e-01	1.666667e-01	5.599067e+00	2.017764e-01	2.017764e-01
1.666667e-01	1.833333e-01	5.897235e+00	2.070799e-01	2.070799e-01
1.833333e-01	2.000000e-01	5.839027e+00	2.060548e-01	2.060548e-01
2.000000e-01	2.166667e-01	5.853570e+00	2.063112e-01	2.063112e-01
2.166667e-01	2.333333e-01	5.788161e+00	2.051559e-01	2.051559e-01
2.333333e-01	2.500000e-01	5.766312e+00	2.047677e-01	2.047677e-01
2.500000e-01	2.666667e-01	5.926285e+00	2.075887e-01	2.075887e-01
2.666667e-01	2.833333e-01	5.839062e+00	2.060561e-01	2.060561e-01
2.833333e-01	3.000000e-01	5.955371e+00	2.080975e-01	2.080975e-01
3.000000e-01	3.166667e-01	6.166248e+00	2.117498e-01	2.117498e-01
3.166667e-01	3.333333e-01	5.846334e+00	2.061843e-01	2.061843e-01
3.333333e-01	3.500000e-01	6.064446e+00	2.099945e-01	2.099945e-01
3.500000e-01	3.666667e-01	6.035358e+00	2.094903e-01	2.094903e-01
3.666667e-01	3.833333e-01	5.809976e+00	2.055422e-01	2.055422e-01
3.833333e-01	4.000000e-01	5.795398e+00	2.052835e-01	2.052835e-01
4.000000e-01	4.166667e-01	5.664511e+00	2.029522e-01	2.029522e-01
4.166667e-01	4.333333e-01	5.817248e+00	2.056707e-01	2.056707e-01
4.333333e-01	4.500000e-01	5.889928e+00	2.069510e-01	2.069510e-01
4.500000e-01	4.666667e-01	5.868113e+00	2.065674e-01	2.065674e-01
4.666667e-01	4.833333e-01	6.231727e+00	2.128717e-01	2.128717e-01
4.833333e-01	5.000000e-01	5.824484e+00	2.057980e-01	2.057980e-01
5.000000e-01	5.166667e-01	5.940828e+00	2.078433e-01	2.078433e-01
5.166667e-01	5.333333e-01	5.628187e+00	2.023010e-01	2.023010e-01
5.333333e-01	5.500000e-01	5.344564e+00	1.971372e-01	1.971372e-01
5.500000e-01	5.666667e-01	5.671782e+00	2.030824e-01	2.030824e-01
5.666667e-01	5.833333e-01	5.664545e+00	2.029534e-01	2.029534e-01
5.833333e-01	6.000000e-01	5.460908e+00	1.992713e-01	1.992713e-01
6.000000e-01	6.166667e-01	5.846299e+00	2.061830e-01	2.061830e-01
6.166667e-01	6.333333e-01	5.315510e+00	1.966012e-01	1.966012e-01
6.333333e-01	6.500000e-01	5.257306e+00	1.955213e-01	1.955213e-01
6.500000e-01	6.666667e-01	5.417279e+00	1.984738e-01	1.984738e-01
6.666667e-01	6.833333e-01	5.562743e+00	2.011214e-01	2.011214e-01
6.833333e-01	7.000000e-01	5.293663e+00	1.961962e-01	1.961962e-01
7.000000e-01	7.166667e-01	5.366378e+00	1.975392e-01	1.975392e-01
7.166667e-01	7.333333e-01	5.082820e+00	1.922499e-01	1.922499e-01
7.333333e-01	7.500000e-01	5.220948e+00	1.948441e-01	1.948441e-01
7.500000e-01	7.666667e-01	4.864644e+00	1.880780e-01	1.880780e-01
7.666667e-01	7.833333e-01	5.337324e+00	1.970043e-01	1.970043e-01
7.833333e-01	8.000000e-01	5.075518e+00	1.921111e-01	1.921111e-01
8.000000e-01	8.166667e-01	5.184591e+00	1.941645e-01	1.941645e-01
8.166667e-01	8.333333e-01	5.235523e+00	1.951164e-01	1.951164e-01
8.333333e-01	8.500000e-01	5.148233e+00	1.934824e-01	1.934824e-01
8.500000e-01	8.666667e-01	5.191862e+00	1.943006e-01	1.943006e-01
8.666667e-01	8.833333e-01	5.133721e+00	1.932102e-01	1.932102e-01
8.833333e-01	9.000000e-01	4.966445e+00	1.900357e-01	1.900357e-01
9.000000e-01	9.166667e-01	4.944631e+00	1.896179e-01	1.896179e-01
9.166667e-01	9.333333e-01	4.988290e+00	1.904537e-01	1.904537e-01
9.333333e-01	9.500000e-01	4.639227e+00	1.836688e-01	1.836688e-01
9.500000e-01	9.666667e-01	4.726485e+00	1.853880e-01	1.853880e-01
9.666667e-01	9.833333e-01	4.791958e+00	1.866682e-01	1.866682e-01
9.833333e-01	1.000000e+00	4.937359e+00	1.894785e-01	1.894785e-01
# END HISTO1D

