# BEGIN HISTO1D /res/oxford/histo_m_smallR_res_C1e
Path=/res/oxford/histo_m_smallR_res_C1e
Title=m_smallR_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	4.936542e+00	9.985574e-03	9.985574e-03
6.000000e+00	1.200000e+01	5.880668e+00	1.089871e-02	1.089871e-02
1.200000e+01	1.800000e+01	1.409687e+00	5.336088e-03	5.336088e-03
1.800000e+01	2.400000e+01	4.368372e-01	2.970445e-03	2.970445e-03
2.400000e+01	3.000000e+01	1.566207e-01	1.778632e-03	1.778632e-03
3.000000e+01	3.600000e+01	6.390867e-02	1.136165e-03	1.136165e-03
3.600000e+01	4.200000e+01	2.874275e-02	7.619487e-04	7.619487e-04
4.200000e+01	4.800000e+01	1.466425e-02	5.442416e-04	5.442416e-04
4.800000e+01	5.400000e+01	7.210935e-03	3.816431e-04	3.816431e-04
5.400000e+01	6.000000e+01	4.302322e-03	2.947903e-04	2.947903e-04
6.000000e+01	6.600000e+01	2.363247e-03	2.184823e-04	2.184823e-04
6.600000e+01	7.200000e+01	1.070531e-03	1.470487e-04	1.470487e-04
7.200000e+01	7.800000e+01	5.655635e-04	1.068815e-04	1.068815e-04
7.800000e+01	8.400000e+01	4.443713e-04	9.474027e-05	9.474027e-05
8.400000e+01	9.000000e+01	2.221857e-04	6.699150e-05	6.699150e-05
9.000000e+01	9.600000e+01	6.059608e-05	3.498517e-05	3.498517e-05
9.600000e+01	1.020000e+02	6.059608e-05	3.498517e-05	3.498517e-05
1.020000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.200000e+02	2.019870e-05	2.019869e-05	2.019869e-05
1.200000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.620000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

