# BEGIN HISTO1D /res/oxford/histo_pt_largeR_boost_C1c
Path=/res/oxford/histo_pt_largeR_boost_C1c
Title=pt_largeR_boost_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	6.474087e-02	5.114061e-04	5.114061e-04
2.100000e+02	2.400000e+02	1.888497e-01	8.734435e-04	8.734435e-04
2.400000e+02	2.700000e+02	1.790776e-01	8.505450e-04	8.505450e-04
2.700000e+02	3.000000e+02	1.543544e-01	7.896527e-04	7.896527e-04
3.000000e+02	3.300000e+02	1.239109e-01	7.075081e-04	7.075081e-04
3.300000e+02	3.600000e+02	9.876757e-02	6.316607e-04	6.316607e-04
3.600000e+02	3.900000e+02	7.648033e-02	5.558423e-04	5.558423e-04
3.900000e+02	4.200000e+02	6.076980e-02	4.954736e-04	4.954736e-04
4.200000e+02	4.500000e+02	4.812137e-02	4.409056e-04	4.409056e-04
4.500000e+02	4.800000e+02	3.805433e-02	3.920837e-04	3.920837e-04
4.800000e+02	5.100000e+02	3.051215e-02	3.510856e-04	3.510856e-04
5.100000e+02	5.400000e+02	2.477572e-02	3.163660e-04	3.163660e-04
5.400000e+02	5.700000e+02	2.071174e-02	2.892577e-04	2.892577e-04
5.700000e+02	6.000000e+02	1.688611e-02	2.611809e-04	2.611809e-04
6.000000e+02	6.300000e+02	1.438147e-02	2.410340e-04	2.410340e-04
6.300000e+02	6.600000e+02	1.220001e-02	2.220020e-04	2.220020e-04
6.600000e+02	6.900000e+02	1.010339e-02	2.020273e-04	2.020273e-04
6.900000e+02	7.200000e+02	8.463253e-03	1.849036e-04	1.849036e-04
7.200000e+02	7.500000e+02	7.037227e-03	1.686077e-04	1.686077e-04
7.500000e+02	7.800000e+02	5.982853e-03	1.554644e-04	1.554644e-04
7.800000e+02	8.100000e+02	4.972920e-03	1.417367e-04	1.417367e-04
8.100000e+02	8.400000e+02	4.706297e-03	1.378848e-04	1.378848e-04
8.400000e+02	8.700000e+02	3.676163e-03	1.218636e-04	1.218636e-04
8.700000e+02	9.000000e+02	3.458017e-03	1.181926e-04	1.181926e-04
# END HISTO1D

