# BEGIN HISTO1D /res/oxford/histo_dPhi_HH_res_C1d
Path=/res/oxford/histo_dPhi_HH_res_C1d
Title=dPhi_HH_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	8.146916e+01	2.904116e-01	2.904116e-01
-2.986667e+00	-2.773333e+00	6.660607e+01	2.625871e-01	2.625871e-01
-2.773333e+00	-2.560000e+00	3.348540e+01	1.861852e-01	1.861852e-01
-2.560000e+00	-2.346667e+00	1.808332e+01	1.368222e-01	1.368222e-01
-2.346667e+00	-2.133333e+00	1.071764e+01	1.053334e-01	1.053334e-01
-2.133333e+00	-1.920000e+00	6.889426e+00	8.445182e-02	8.445182e-02
-1.920000e+00	-1.706667e+00	4.789990e+00	7.041816e-02	7.041816e-02
-1.706667e+00	-1.493333e+00	3.500081e+00	6.019432e-02	6.019432e-02
-1.493333e+00	-1.280000e+00	2.822025e+00	5.405027e-02	5.405027e-02
-1.280000e+00	-1.066667e+00	2.253686e+00	4.830189e-02	4.830189e-02
-1.066667e+00	-8.533333e-01	1.872717e+00	4.403042e-02	4.403042e-02
-8.533333e-01	-6.400000e-01	1.560083e+00	4.018750e-02	4.018750e-02
-6.400000e-01	-4.266667e-01	1.486582e+00	3.922939e-02	3.922939e-02
-4.266667e-01	-2.133333e-01	1.291959e+00	3.657138e-02	3.657138e-02
-2.133333e-01	3.885781e-16	1.192578e+00	3.513667e-02	3.513667e-02
3.885781e-16	2.133333e-01	1.228811e+00	3.566643e-02	3.566643e-02
2.133333e-01	4.266667e-01	1.365460e+00	3.759729e-02	3.759729e-02
4.266667e-01	6.400000e-01	1.446208e+00	3.869301e-02	3.869301e-02
6.400000e-01	8.533333e-01	1.541449e+00	3.994677e-02	3.994677e-02
8.533333e-01	1.066667e+00	1.814744e+00	4.334355e-02	4.334355e-02
1.066667e+00	1.280000e+00	2.183290e+00	4.754154e-02	4.754154e-02
1.280000e+00	1.493333e+00	2.770263e+00	5.355228e-02	5.355228e-02
1.493333e+00	1.706667e+00	3.412087e+00	5.943284e-02	5.943284e-02
1.706667e+00	1.920000e+00	4.646092e+00	6.935238e-02	6.935238e-02
1.920000e+00	2.133333e+00	6.785903e+00	8.381491e-02	8.381491e-02
2.133333e+00	2.346667e+00	1.041846e+01	1.038528e-01	1.038528e-01
2.346667e+00	2.560000e+00	1.779345e+01	1.357212e-01	1.357212e-01
2.560000e+00	2.773333e+00	3.314688e+01	1.852417e-01	1.852417e-01
2.773333e+00	2.986667e+00	6.641975e+01	2.622195e-01	2.622195e-01
2.986667e+00	3.200000e+00	8.165132e+01	2.907362e-01	2.907362e-01
# END HISTO1D

