# BEGIN HISTO1D /res/oxford/histo_eta_smallR_res_C2
Path=/res/oxford/histo_eta_smallR_res_C2
Title=eta_smallR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	2.459035e-01	7.299413e-03	7.299413e-03
-2.400000e+00	-2.000000e+00	1.581673e+00	1.853673e-02	1.853673e-02
-2.000000e+00	-1.600000e+00	2.698338e+00	2.416818e-02	2.416818e-02
-1.600000e+00	-1.200000e+00	4.139232e+00	2.986576e-02	2.986576e-02
-1.200000e+00	-8.000000e-01	5.617390e+00	3.477575e-02	3.477575e-02
-8.000000e-01	-4.000000e-01	6.764642e+00	3.813542e-02	3.813542e-02
-4.000000e-01	7.771561e-16	7.323920e+00	3.966689e-02	3.966689e-02
7.771561e-16	4.000000e-01	7.316208e+00	3.965802e-02	3.965802e-02
4.000000e-01	8.000000e-01	6.747032e+00	3.809359e-02	3.809359e-02
8.000000e-01	1.200000e+00	5.583103e+00	3.466232e-02	3.466232e-02
1.200000e+00	1.600000e+00	4.149282e+00	2.990385e-02	2.990385e-02
1.600000e+00	2.000000e+00	2.722988e+00	2.427271e-02	2.427271e-02
2.000000e+00	2.400000e+00	1.561851e+00	1.840530e-02	1.840530e-02
2.400000e+00	2.800000e+00	2.496349e-01	7.381677e-03	7.381677e-03
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

