# BEGIN HISTO1D /res/oxford/histo_pt_H1_res_C1d
Path=/res/oxford/histo_pt_H1_res_C1d
Title=pt_H1_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	2.795491e-01	1.434548e-03	1.434548e-03
3.000000e+01	6.000000e+01	4.786950e-01	1.877220e-03	1.877220e-03
6.000000e+01	9.000000e+01	5.115570e-01	1.940586e-03	1.940586e-03
9.000000e+01	1.200000e+02	5.163273e-01	1.949613e-03	1.949613e-03
1.200000e+02	1.500000e+02	4.260153e-01	1.770918e-03	1.770918e-03
1.500000e+02	1.800000e+02	3.189557e-01	1.532325e-03	1.532325e-03
1.800000e+02	2.100000e+02	2.245065e-01	1.285583e-03	1.285583e-03
2.100000e+02	2.400000e+02	1.554400e-01	1.069713e-03	1.069713e-03
2.400000e+02	2.700000e+02	1.105269e-01	9.020278e-04	9.020278e-04
2.700000e+02	3.000000e+02	7.896780e-02	7.624491e-04	7.624491e-04
3.000000e+02	3.300000e+02	5.930497e-02	6.607413e-04	6.607413e-04
3.300000e+02	3.600000e+02	4.459653e-02	5.729759e-04	5.729759e-04
3.600000e+02	3.900000e+02	3.314189e-02	4.939403e-04	4.939403e-04
3.900000e+02	4.200000e+02	2.577293e-02	4.355798e-04	4.355798e-04
4.200000e+02	4.500000e+02	2.036952e-02	3.872365e-04	3.872365e-04
4.500000e+02	4.800000e+02	1.690958e-02	3.528193e-04	3.528193e-04
4.800000e+02	5.100000e+02	1.320670e-02	3.118049e-04	3.118049e-04
5.100000e+02	5.400000e+02	9.835087e-03	2.690760e-04	2.690760e-04
5.400000e+02	5.700000e+02	8.355407e-03	2.480103e-04	2.480103e-04
5.700000e+02	6.000000e+02	6.750580e-03	2.229238e-04	2.229238e-04
6.000000e+02	6.300000e+02	5.594810e-03	2.029451e-04	2.029451e-04
6.300000e+02	6.600000e+02	4.829203e-03	1.885488e-04	1.885488e-04
6.600000e+02	6.900000e+02	3.960537e-03	1.707509e-04	1.707509e-04
6.900000e+02	7.200000e+02	3.047699e-03	1.497862e-04	1.497862e-04
7.200000e+02	7.500000e+02	2.444048e-03	1.341346e-04	1.341346e-04
7.500000e+02	7.800000e+02	2.274732e-03	1.294050e-04	1.294050e-04
7.800000e+02	8.100000e+02	2.009715e-03	1.216335e-04	1.216335e-04
8.100000e+02	8.400000e+02	1.391341e-03	1.012052e-04	1.012052e-04
8.400000e+02	8.700000e+02	1.464957e-03	1.038480e-04	1.038480e-04
8.700000e+02	9.000000e+02	1.207301e-03	9.427437e-05	9.427437e-05
# END HISTO1D

