# BEGIN HISTO1D /res/oxford/histo_pt_subleadSJ_fj1_boost_C2
Path=/res/oxford/histo_pt_subleadSJ_fj1_boost_C2
Title=pt_subleadSJ_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	9.855103e-04	5.380475e-05	5.380475e-05
6.000000e+01	9.000000e+01	4.596923e-03	1.164695e-04	1.164695e-04
9.000000e+01	1.200000e+02	4.644853e-03	1.172702e-04	1.172702e-04
1.200000e+02	1.500000e+02	3.316390e-03	9.919032e-05	9.919032e-05
1.500000e+02	1.800000e+02	1.722483e-03	7.163225e-05	7.163225e-05
1.800000e+02	2.100000e+02	6.717477e-04	4.464732e-05	4.464732e-05
2.100000e+02	2.400000e+02	3.223163e-04	3.105020e-05	3.105020e-05
2.400000e+02	2.700000e+02	1.246251e-04	1.930835e-05	1.930835e-05
2.700000e+02	3.000000e+02	3.689793e-05	1.045279e-05	1.045279e-05
3.000000e+02	3.300000e+02	3.332952e-05	1.000097e-05	1.000097e-05
3.300000e+02	3.600000e+02	1.413426e-09	8.160417e-10	8.160417e-10
3.600000e+02	3.900000e+02	6.032500e-06	4.264290e-06	4.264290e-06
3.900000e+02	4.200000e+02	4.711420e-10	4.711419e-10	4.711419e-10
4.200000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e+02	5.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+02	5.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

