# BEGIN HISTO1D /res/oxford/histo_dPhi_HH_boost_C2
Path=/res/oxford/histo_dPhi_HH_boost_C2
Title=dPhi_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	7.718595e-01	2.263267e-02	2.263267e-02
-2.986667e+00	-2.773333e+00	3.761669e-01	1.572891e-02	1.572891e-02
-2.773333e+00	-2.560000e+00	1.590557e-01	1.023534e-02	1.023534e-02
-2.560000e+00	-2.346667e+00	8.559327e-02	7.515007e-03	7.515007e-03
-2.346667e+00	-2.133333e+00	5.014747e-02	5.765464e-03	5.765464e-03
-2.133333e+00	-1.920000e+00	3.776013e-02	5.005068e-03	5.005068e-03
-1.920000e+00	-1.706667e+00	2.459632e-02	4.047902e-03	4.047902e-03
-1.706667e+00	-1.493333e+00	1.976296e-02	3.633196e-03	3.633196e-03
-1.493333e+00	-1.280000e+00	1.289142e-02	2.940027e-03	2.940027e-03
-1.280000e+00	-1.066667e+00	1.507763e-02	3.165857e-03	3.165857e-03
-1.066667e+00	-8.533333e-01	8.128420e-03	2.336464e-03	2.336464e-03
-8.533333e-01	-6.400000e-01	3.407301e-03	1.508239e-03	1.508239e-03
-6.400000e-01	-4.266667e-01	2.032029e-03	1.168234e-03	1.168234e-03
-4.266667e-01	-2.133333e-01	2.023387e-03	1.168203e-03	1.168203e-03
-2.133333e-01	3.885781e-16	1.365788e-03	9.539087e-04	9.539087e-04
3.885781e-16	2.133333e-01	2.040263e-03	1.168264e-03	1.168264e-03
2.133333e-01	4.266667e-01	2.107695e-03	1.171241e-03	1.171241e-03
4.266667e-01	6.400000e-01	3.414572e-03	1.508262e-03	1.508262e-03
6.400000e-01	8.533333e-01	2.065753e-03	1.168356e-03	1.168356e-03
8.533333e-01	1.066667e+00	7.453009e-03	2.236999e-03	2.236999e-03
1.066667e+00	1.280000e+00	1.694158e-02	3.372419e-03	3.372419e-03
1.280000e+00	1.493333e+00	1.978939e-02	3.633242e-03	3.633242e-03
1.493333e+00	1.706667e+00	1.584670e-02	3.237010e-03	3.237010e-03
1.706667e+00	1.920000e+00	2.442181e-02	4.046922e-03	4.046922e-03
1.920000e+00	2.133333e+00	2.605902e-02	4.159643e-03	4.159643e-03
2.133333e+00	2.346667e+00	5.521811e-02	6.037137e-03	6.037137e-03
2.346667e+00	2.560000e+00	9.175444e-02	7.783498e-03	7.783498e-03
2.560000e+00	2.773333e+00	1.425507e-01	9.666638e-03	9.666638e-03
2.773333e+00	2.986667e+00	3.867834e-01	1.595755e-02	1.595755e-02
2.986667e+00	3.200000e+00	8.332579e-01	2.351182e-02	2.351182e-02
# END HISTO1D

