# BEGIN HISTO1D /res/oxford/histo_m_smallR_res_C1d
Path=/res/oxford/histo_m_smallR_res_C1d
Title=m_smallR_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	3.902702e+01	4.780083e-02	4.780083e-02
6.000000e+00	1.200000e+01	5.208625e+01	5.522225e-02	5.522225e-02
1.200000e+01	1.800000e+01	1.703813e+01	3.158376e-02	3.158376e-02
1.800000e+01	2.400000e+01	7.023485e+00	2.027818e-02	2.027818e-02
2.400000e+01	3.000000e+01	3.383143e+00	1.407385e-02	1.407385e-02
3.000000e+01	3.600000e+01	1.801612e+00	1.027030e-02	1.027030e-02
3.600000e+01	4.200000e+01	1.022583e+00	7.737526e-03	7.737526e-03
4.200000e+01	4.800000e+01	6.275663e-01	6.061534e-03	6.061534e-03
4.800000e+01	5.400000e+01	3.982958e-01	4.828982e-03	4.828982e-03
5.400000e+01	6.000000e+01	2.639303e-01	3.930948e-03	3.930948e-03
6.000000e+01	6.600000e+01	1.818473e-01	3.262917e-03	3.262917e-03
6.600000e+01	7.200000e+01	1.263446e-01	2.719763e-03	2.719763e-03
7.200000e+01	7.800000e+01	8.676680e-02	2.253873e-03	2.253873e-03
7.800000e+01	8.400000e+01	6.680223e-02	1.977645e-03	1.977645e-03
8.400000e+01	9.000000e+01	4.713042e-02	1.661129e-03	1.661129e-03
9.000000e+01	9.600000e+01	4.104152e-02	1.550117e-03	1.550117e-03
9.600000e+01	1.020000e+02	2.921500e-02	1.307843e-03	1.307843e-03
1.020000e+02	1.080000e+02	2.827825e-02	1.286705e-03	1.286705e-03
1.080000e+02	1.140000e+02	3.085432e-02	1.344035e-03	1.344035e-03
1.140000e+02	1.200000e+02	3.243508e-02	1.378035e-03	1.378035e-03
1.200000e+02	1.260000e+02	2.757568e-02	1.270620e-03	1.270620e-03
1.260000e+02	1.320000e+02	2.289192e-02	1.157694e-03	1.157694e-03
1.320000e+02	1.380000e+02	1.867652e-02	1.045685e-03	1.045685e-03
1.380000e+02	1.440000e+02	1.405130e-02	9.070076e-04	9.070076e-04
1.440000e+02	1.500000e+02	8.606423e-03	7.098458e-04	7.098458e-04
1.500000e+02	1.560000e+02	5.854710e-03	5.854708e-04	5.854708e-04
1.560000e+02	1.620000e+02	5.035050e-03	5.429434e-04	5.429434e-04
1.620000e+02	1.680000e+02	4.098297e-03	4.898401e-04	4.898401e-04
1.680000e+02	1.740000e+02	2.927355e-03	4.139905e-04	4.139905e-04
1.740000e+02	1.800000e+02	2.224790e-03	3.609085e-04	3.609085e-04
# END HISTO1D

