# BEGIN HISTO1D /res/oxford/histo_m_H0_inter_C1d
Path=/res/oxford/histo_m_H0_inter_C1d
Title=m_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	5.882832e-05	1.698227e-05	1.698227e-05
6.000000e+00	1.200000e+01	8.118307e-03	1.994965e-04	1.994965e-04
1.200000e+01	1.800000e+01	3.418415e-02	4.093690e-04	4.093690e-04
1.800000e+01	2.400000e+01	5.582317e-02	5.231302e-04	5.231302e-04
2.400000e+01	3.000000e+01	5.814198e-02	5.338846e-04	5.338846e-04
3.000000e+01	3.600000e+01	5.097473e-02	4.998965e-04	4.998965e-04
3.600000e+01	4.200000e+01	4.240542e-02	4.559458e-04	4.559458e-04
4.200000e+01	4.800000e+01	3.437535e-02	4.105122e-04	4.105122e-04
4.800000e+01	5.400000e+01	2.789443e-02	3.697952e-04	3.697952e-04
5.400000e+01	6.000000e+01	2.324698e-02	3.375872e-04	3.375872e-04
6.000000e+01	6.600000e+01	1.923195e-02	3.070537e-04	3.070537e-04
6.600000e+01	7.200000e+01	1.702100e-02	2.888651e-04	2.888651e-04
7.200000e+01	7.800000e+01	1.549636e-02	2.756242e-04	2.756242e-04
7.800000e+01	8.400000e+01	1.496690e-02	2.708748e-04	2.708748e-04
8.400000e+01	9.000000e+01	1.381485e-02	2.602410e-04	2.602410e-04
9.000000e+01	9.600000e+01	1.304028e-02	2.528401e-04	2.528401e-04
9.600000e+01	1.020000e+02	1.272162e-02	2.497318e-04	2.497318e-04
1.020000e+02	1.080000e+02	1.281477e-02	2.506444e-04	2.506444e-04
1.080000e+02	1.140000e+02	1.635427e-02	2.831511e-04	2.831511e-04
1.140000e+02	1.200000e+02	3.169865e-02	3.942058e-04	3.942058e-04
1.200000e+02	1.260000e+02	5.124927e-02	5.012408e-04	5.012408e-04
1.260000e+02	1.320000e+02	4.291525e-02	4.586785e-04	4.586785e-04
1.320000e+02	1.380000e+02	2.187923e-02	3.275055e-04	3.275055e-04
1.380000e+02	1.440000e+02	1.073126e-02	2.293655e-04	2.293655e-04
1.440000e+02	1.500000e+02	6.927033e-03	1.842792e-04	1.842792e-04
1.500000e+02	1.560000e+02	5.103357e-03	1.581723e-04	1.581723e-04
1.560000e+02	1.620000e+02	3.769915e-03	1.359466e-04	1.359466e-04
1.620000e+02	1.680000e+02	3.122803e-03	1.237300e-04	1.237300e-04
1.680000e+02	1.740000e+02	2.534520e-03	1.114681e-04	1.114681e-04
1.740000e+02	1.800000e+02	2.245280e-03	1.049151e-04	1.049151e-04
# END HISTO1D

