# BEGIN HISTO1D /res/oxford/histo_pt_H0_inter_C1e
Path=/res/oxford/histo_pt_H0_inter_C1e
Title=pt_H0_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	3.774627e-04	9.171015e-06	9.171015e-06
2.100000e+02	2.400000e+02	2.031480e-03	2.127584e-05	2.127584e-05
2.400000e+02	2.700000e+02	2.498964e-03	2.359719e-05	2.359719e-05
2.700000e+02	3.000000e+02	1.630621e-03	1.906149e-05	1.906149e-05
3.000000e+02	3.300000e+02	8.574243e-04	1.382223e-05	1.382223e-05
3.300000e+02	3.600000e+02	4.391847e-04	9.892453e-06	9.892453e-06
3.600000e+02	3.900000e+02	2.110137e-04	6.857024e-06	6.857024e-06
3.900000e+02	4.200000e+02	1.136399e-04	5.032059e-06	5.032059e-06
4.200000e+02	4.500000e+02	6.818393e-05	3.897817e-06	3.897817e-06
4.500000e+02	4.800000e+02	4.501030e-05	3.166915e-06	3.166915e-06
4.800000e+02	5.100000e+02	3.141809e-05	2.645881e-06	2.645881e-06
5.100000e+02	5.400000e+02	2.696163e-05	2.451057e-06	2.451057e-06
5.400000e+02	5.700000e+02	2.317363e-05	2.272361e-06	2.272361e-06
5.700000e+02	6.000000e+02	2.005410e-05	2.113888e-06	2.113888e-06
6.000000e+02	6.300000e+02	1.916281e-05	2.066379e-06	2.066379e-06
6.300000e+02	6.600000e+02	1.225528e-05	1.652502e-06	1.652502e-06
6.600000e+02	6.900000e+02	1.827151e-05	2.017751e-06	2.017751e-06
6.900000e+02	7.200000e+02	1.247811e-05	1.667457e-06	1.667457e-06
7.200000e+02	7.500000e+02	1.114117e-05	1.575599e-06	1.575599e-06
7.500000e+02	7.800000e+02	1.247811e-05	1.667457e-06	1.667457e-06
7.800000e+02	8.100000e+02	1.024987e-05	1.511261e-06	1.511261e-06
8.100000e+02	8.400000e+02	6.461877e-06	1.199940e-06	1.199940e-06
8.400000e+02	8.700000e+02	8.244463e-06	1.355381e-06	1.355381e-06
8.700000e+02	9.000000e+02	8.244463e-06	1.355381e-06	1.355381e-06
# END HISTO1D

