# BEGIN HISTO1D /res/oxford/histo_pt_largeR_inter_C1c
Path=/res/oxford/histo_pt_largeR_inter_C1c
Title=pt_largeR_inter_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	6.549447e-03	3.820170e-05	3.820170e-05
2.100000e+02	2.400000e+02	1.412522e-02	5.610194e-05	5.610194e-05
2.400000e+02	2.700000e+02	9.067573e-03	4.494960e-05	4.494960e-05
2.700000e+02	3.000000e+02	5.224983e-03	3.412109e-05	3.412109e-05
3.000000e+02	3.300000e+02	2.886454e-03	2.536078e-05	2.536078e-05
3.300000e+02	3.600000e+02	1.642654e-03	1.913169e-05	1.913169e-05
3.600000e+02	3.900000e+02	9.122387e-04	1.425721e-05	1.425721e-05
3.900000e+02	4.200000e+02	5.191783e-04	1.075570e-05	1.075570e-05
4.200000e+02	4.500000e+02	3.175233e-04	8.411397e-06	8.411397e-06
4.500000e+02	4.800000e+02	1.943020e-04	6.579894e-06	6.579894e-06
4.800000e+02	5.100000e+02	1.252267e-04	5.282370e-06	5.282370e-06
5.100000e+02	5.400000e+02	8.311310e-05	4.303434e-06	4.303434e-06
5.400000e+02	5.700000e+02	5.659713e-05	3.551220e-06	3.551220e-06
5.700000e+02	6.000000e+02	4.300490e-05	3.095561e-06	3.095561e-06
6.000000e+02	6.300000e+02	2.540186e-05	2.379102e-06	2.379102e-06
6.300000e+02	6.600000e+02	1.960845e-05	2.090268e-06	2.090268e-06
6.600000e+02	6.900000e+02	1.537481e-05	1.850910e-06	1.850910e-06
6.900000e+02	7.200000e+02	8.690110e-06	1.391532e-06	1.391532e-06
7.200000e+02	7.500000e+02	5.793407e-06	1.136181e-06	1.136181e-06
7.500000e+02	7.800000e+02	4.010820e-06	9.453594e-07	9.453594e-07
7.800000e+02	8.100000e+02	4.679290e-06	1.021105e-06	1.021105e-06
8.100000e+02	8.400000e+02	2.896704e-06	8.034010e-07	8.034010e-07
8.400000e+02	8.700000e+02	1.782587e-06	6.302396e-07	6.302396e-07
8.700000e+02	9.000000e+02	6.684700e-07	3.859414e-07	3.859414e-07
# END HISTO1D

