# BEGIN HISTO1D /res/oxford/histo_dEta_HH_boost_C1d
Path=/res/oxford/histo_dEta_HH_boost_C1d
Title=dEta_HH_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	7.987276e-01	5.735713e-03	5.735713e-03
1.666667e-01	3.333333e-01	7.768155e-01	5.656492e-03	5.656492e-03
3.333333e-01	5.000000e-01	7.211285e-01	5.449973e-03	5.449973e-03
5.000000e-01	6.666667e-01	6.562151e-01	5.198897e-03	5.198897e-03
6.666667e-01	8.333333e-01	5.949684e-01	4.950341e-03	4.950341e-03
8.333333e-01	1.000000e+00	5.102021e-01	4.584153e-03	4.584153e-03
1.000000e+00	1.166667e+00	4.235407e-01	4.176719e-03	4.176719e-03
1.166667e+00	1.333333e+00	3.537284e-01	3.817016e-03	3.817016e-03
1.333333e+00	1.500000e+00	2.932617e-01	3.475484e-03	3.475484e-03
1.500000e+00	1.666667e+00	2.395108e-01	3.140871e-03	3.140871e-03
1.666667e+00	1.833333e+00	1.867083e-01	2.773134e-03	2.773134e-03
1.833333e+00	2.000000e+00	1.475782e-01	2.465464e-03	2.465464e-03
2.000000e+00	2.166667e+00	1.140508e-01	2.167389e-03	2.167389e-03
2.166667e+00	2.333333e+00	8.394256e-02	1.859431e-03	1.859431e-03
2.333333e+00	2.500000e+00	6.511889e-02	1.637726e-03	1.637726e-03
# END HISTO1D

