# BEGIN HISTO1D /res/oxford/histo_eta_smallR_inter_C1c
Path=/res/oxford/histo_eta_smallR_inter_C1c
Title=eta_smallR_inter_C1c
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	7.230300e-02	1.113937e-03	1.113937e-03
-2.400000e+00	-2.000000e+00	3.927668e-01	2.596270e-03	2.596270e-03
-2.000000e+00	-1.600000e+00	5.196963e-01	2.986463e-03	2.986463e-03
-1.600000e+00	-1.200000e+00	6.874362e-01	3.434778e-03	3.434778e-03
-1.200000e+00	-8.000000e-01	8.552968e-01	3.831253e-03	3.831253e-03
-8.000000e-01	-4.000000e-01	9.848690e-01	4.111229e-03	4.111229e-03
-4.000000e-01	7.771561e-16	1.053980e+00	4.253032e-03	4.253032e-03
7.771561e-16	4.000000e-01	1.050101e+00	4.245199e-03	4.245199e-03
4.000000e-01	8.000000e-01	9.892280e-01	4.120318e-03	4.120318e-03
8.000000e-01	1.200000e+00	8.601535e-01	3.842116e-03	3.842116e-03
1.200000e+00	1.600000e+00	6.912120e-01	3.444198e-03	3.444198e-03
1.600000e+00	2.000000e+00	5.241755e-01	2.999306e-03	2.999306e-03
2.000000e+00	2.400000e+00	3.979155e-01	2.613231e-03	2.613231e-03
2.400000e+00	2.800000e+00	7.340138e-02	1.122366e-03	1.122366e-03
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

