# BEGIN HISTO1D /res/oxford/histo_pt_HH_inter_C1e
Path=/res/oxford/histo_pt_HH_inter_C1e
Title=pt_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.281352e-04	1.500855e-05	1.500855e-05
1.000000e+01	2.000000e+01	8.910449e-04	2.473217e-05	2.473217e-05
2.000000e+01	3.000000e+01	1.172500e-03	2.837062e-05	2.837062e-05
3.000000e+01	4.000000e+01	1.313227e-03	3.002496e-05	3.002496e-05
4.000000e+01	5.000000e+01	1.360594e-03	3.056165e-05	3.056165e-05
5.000000e+01	6.000000e+01	1.425809e-03	3.128550e-05	3.128550e-05
6.000000e+01	7.000000e+01	1.267920e-03	2.950247e-05	2.950247e-05
7.000000e+01	8.000000e+01	1.209569e-03	2.881561e-05	2.881561e-05
8.000000e+01	9.000000e+01	1.145727e-03	2.804485e-05	2.804485e-05
9.000000e+01	1.000000e+02	9.075203e-04	2.495977e-05	2.495977e-05
1.000000e+02	1.100000e+02	8.512294e-04	2.417329e-05	2.417329e-05
1.100000e+02	1.200000e+02	7.290368e-04	2.237109e-05	2.237109e-05
1.200000e+02	1.300000e+02	5.999794e-04	2.029461e-05	2.029461e-05
1.300000e+02	1.400000e+02	5.478073e-04	1.939217e-05	1.939217e-05
1.400000e+02	1.500000e+02	4.118852e-04	1.681514e-05	1.681514e-05
1.500000e+02	1.600000e+02	3.514754e-04	1.553316e-05	1.553316e-05
1.600000e+02	1.700000e+02	2.855737e-04	1.400140e-05	1.400140e-05
1.700000e+02	1.800000e+02	2.649795e-04	1.348710e-05	1.348710e-05
1.800000e+02	1.900000e+02	2.155532e-04	1.216437e-05	1.216437e-05
1.900000e+02	2.000000e+02	1.764242e-04	1.100504e-05	1.100504e-05
2.000000e+02	2.100000e+02	1.572028e-04	1.038826e-05	1.038826e-05
2.100000e+02	2.200000e+02	1.263115e-04	9.311804e-06	9.311804e-06
2.200000e+02	2.300000e+02	1.132684e-04	8.817935e-06	8.817935e-06
2.300000e+02	2.400000e+02	1.057172e-04	8.518934e-06	8.518934e-06
2.400000e+02	2.500000e+02	8.031761e-05	7.425366e-06	7.425366e-06
2.500000e+02	2.600000e+02	6.590163e-05	6.726057e-06	6.726057e-06
2.600000e+02	2.700000e+02	4.942622e-05	5.824936e-06	5.824936e-06
2.700000e+02	2.800000e+02	6.315573e-05	6.584440e-06	6.584440e-06
2.800000e+02	2.900000e+02	4.873975e-05	5.784344e-06	5.784344e-06
2.900000e+02	3.000000e+02	3.844262e-05	5.137111e-06	5.137111e-06
# END HISTO1D

