# BEGIN HISTO1D /res/oxford/histo_pt_largeR_res_C1b
Path=/res/oxford/histo_pt_largeR_res_C1b
Title=pt_largeR_res_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	4.847890e-03	3.330643e-05	3.330643e-05
2.100000e+02	2.400000e+02	1.364782e-02	5.588347e-05	5.588347e-05
2.400000e+02	2.700000e+02	1.343432e-02	5.544466e-05	5.544466e-05
2.700000e+02	3.000000e+02	1.209730e-02	5.261336e-05	5.261336e-05
3.000000e+02	3.300000e+02	9.979290e-03	4.778611e-05	4.778611e-05
3.300000e+02	3.600000e+02	7.977073e-03	4.272417e-05	4.272417e-05
3.600000e+02	3.900000e+02	6.292920e-03	3.794704e-05	3.794704e-05
3.900000e+02	4.200000e+02	4.966190e-03	3.371037e-05	3.371037e-05
4.200000e+02	4.500000e+02	3.880417e-03	2.979826e-05	2.979826e-05
4.500000e+02	4.800000e+02	2.979074e-03	2.610913e-05	2.610913e-05
4.800000e+02	5.100000e+02	2.408155e-03	2.347438e-05	2.347438e-05
5.100000e+02	5.400000e+02	1.864696e-03	2.065646e-05	2.065646e-05
5.400000e+02	5.700000e+02	1.467227e-03	1.832316e-05	1.832316e-05
5.700000e+02	6.000000e+02	1.196526e-03	1.654676e-05	1.654676e-05
6.000000e+02	6.300000e+02	9.530567e-04	1.476764e-05	1.476764e-05
6.300000e+02	6.600000e+02	7.857853e-04	1.340923e-05	1.340923e-05
6.600000e+02	6.900000e+02	6.633640e-04	1.232048e-05	1.232048e-05
6.900000e+02	7.200000e+02	4.956353e-04	1.064959e-05	1.064959e-05
7.200000e+02	7.500000e+02	4.233263e-04	9.842140e-06	9.842140e-06
7.500000e+02	7.800000e+02	3.626877e-04	9.109998e-06	9.109998e-06
7.800000e+02	8.100000e+02	3.091427e-04	8.410684e-06	8.410684e-06
8.100000e+02	8.400000e+02	2.530806e-04	7.609940e-06	7.609940e-06
8.400000e+02	8.700000e+02	2.157821e-04	7.026831e-06	7.026831e-06
8.700000e+02	9.000000e+02	1.782548e-04	6.386640e-06	6.386640e-06
# END HISTO1D

