# BEGIN HISTO1D /res/oxford/histo_m_smallR_boost_C2
Path=/res/oxford/histo_m_smallR_boost_C2
Title=m_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	6.362875e-03	1.137733e-04	1.137733e-04
6.000000e+00	1.200000e+01	1.201502e-02	1.564994e-04	1.564994e-04
1.200000e+01	1.800000e+01	6.231543e-03	1.127413e-04	1.127413e-04
1.800000e+01	2.400000e+01	3.100008e-03	7.945778e-05	7.945778e-05
2.400000e+01	3.000000e+01	1.564728e-03	5.644875e-05	5.644875e-05
3.000000e+01	3.600000e+01	9.412380e-04	4.380171e-05	4.380171e-05
3.600000e+01	4.200000e+01	5.425622e-04	3.324448e-05	3.324448e-05
4.200000e+01	4.800000e+01	2.231710e-04	2.120947e-05	2.120947e-05
4.800000e+01	5.400000e+01	1.471445e-04	1.720254e-05	1.720254e-05
5.400000e+01	6.000000e+01	8.948848e-05	1.341785e-05	1.341785e-05
6.000000e+01	6.600000e+01	7.724380e-05	1.242690e-05	1.242690e-05
6.600000e+01	7.200000e+01	3.658020e-05	8.538420e-06	8.538420e-06
7.200000e+01	7.800000e+01	2.814175e-05	7.468796e-06	7.468796e-06
7.800000e+01	8.400000e+01	2.129930e-05	6.547434e-06	6.547434e-06
8.400000e+01	9.000000e+01	2.119988e-05	6.547230e-06	6.547230e-06
9.000000e+01	9.600000e+01	2.132497e-05	6.547550e-06	6.547550e-06
9.600000e+01	1.020000e+02	1.889497e-05	6.206533e-06	6.206533e-06
1.020000e+02	1.080000e+02	3.760557e-05	8.780518e-06	8.780518e-06
1.080000e+02	1.140000e+02	5.182787e-05	1.034340e-05	1.034340e-05
1.140000e+02	1.200000e+02	6.466128e-05	1.152099e-05	1.152099e-05
1.200000e+02	1.260000e+02	9.764470e-05	1.418448e-05	1.418448e-05
1.260000e+02	1.320000e+02	4.375688e-05	9.483363e-06	9.483363e-06
1.320000e+02	1.380000e+02	4.998775e-05	1.013769e-05	1.013769e-05
1.380000e+02	1.440000e+02	1.660483e-05	5.851154e-06	5.851154e-06
1.440000e+02	1.500000e+02	8.274942e-06	4.137309e-06	4.137309e-06
1.500000e+02	1.560000e+02	2.094513e-06	2.068816e-06	2.068816e-06
1.560000e+02	1.620000e+02	3.232273e-10	3.232273e-10	3.232273e-10
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

