# BEGIN HISTO1D /res/oxford/histo_dPhi_HH_inter_C1e
Path=/res/oxford/histo_dPhi_HH_inter_C1e
Title=dPhi_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	9.152996e-01	1.904396e-02	1.904396e-02
-2.986667e+00	-2.773333e+00	7.496705e-01	1.723494e-02	1.723494e-02
-2.773333e+00	-2.560000e+00	2.916279e-01	1.074955e-02	1.074955e-02
-2.560000e+00	-2.346667e+00	1.160964e-01	6.782426e-03	6.782426e-03
-2.346667e+00	-2.133333e+00	4.754779e-02	4.340501e-03	4.340501e-03
-2.133333e+00	-1.920000e+00	2.100038e-02	2.884624e-03	2.884624e-03
-1.920000e+00	-1.706667e+00	1.743428e-02	2.628316e-03	2.628316e-03
-1.706667e+00	-1.493333e+00	9.113329e-03	1.900261e-03	1.900261e-03
-1.493333e+00	-1.280000e+00	5.547271e-03	1.482570e-03	1.482570e-03
-1.280000e+00	-1.066667e+00	2.773635e-03	1.048336e-03	1.048336e-03
-1.066667e+00	-8.533333e-01	7.924646e-04	5.603571e-04	5.603571e-04
-8.533333e-01	-6.400000e-01	1.584932e-03	7.924661e-04	7.924661e-04
-6.400000e-01	-4.266667e-01	2.773631e-03	1.048334e-03	1.048334e-03
-4.266667e-01	-2.133333e-01	1.188699e-03	6.862954e-04	6.862954e-04
-2.133333e-01	3.885781e-16	1.584932e-03	7.924661e-04	7.924661e-04
3.885781e-16	2.133333e-01	1.981165e-03	8.860040e-04	8.860040e-04
2.133333e-01	4.266667e-01	2.377397e-03	9.705683e-04	9.705683e-04
4.266667e-01	6.400000e-01	7.924661e-04	5.603581e-04	5.603581e-04
6.400000e-01	8.533333e-01	7.924661e-04	5.603581e-04	5.603581e-04
8.533333e-01	1.066667e+00	1.981161e-03	8.860023e-04	8.860023e-04
1.066667e+00	1.280000e+00	4.358569e-03	1.314158e-03	1.314158e-03
1.280000e+00	1.493333e+00	3.962336e-03	1.253001e-03	1.253001e-03
1.493333e+00	1.706667e+00	7.528401e-03	1.727134e-03	1.727134e-03
1.706667e+00	1.920000e+00	1.030207e-02	2.020403e-03	2.020403e-03
1.920000e+00	2.133333e+00	2.100038e-02	2.884624e-03	2.884624e-03
2.133333e+00	2.346667e+00	4.675535e-02	4.304178e-03	4.304178e-03
2.346667e+00	2.560000e+00	1.101530e-01	6.606534e-03	6.606534e-03
2.560000e+00	2.773333e+00	2.955903e-01	1.082233e-02	1.082233e-02
2.773333e+00	2.986667e+00	7.310476e-01	1.701952e-02	1.701952e-02
2.986667e+00	3.200000e+00	9.200546e-01	1.909336e-02	1.909336e-02
# END HISTO1D

