# BEGIN HISTO1D /res/oxford/histo_eta_H0_inter_C1d
Path=/res/oxford/histo_eta_H0_inter_C1d
Title=eta_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.065074e-01	4.744218e-03	4.744218e-03
-2.400000e+00	-2.000000e+00	6.445390e-01	1.167076e-02	1.167076e-02
-2.000000e+00	-1.600000e+00	9.338418e-01	1.404790e-02	1.404790e-02
-1.600000e+00	-1.200000e+00	1.236458e+00	1.616458e-02	1.616458e-02
-1.200000e+00	-8.000000e-01	1.562954e+00	1.817389e-02	1.817389e-02
-8.000000e-01	-4.000000e-01	1.792875e+00	1.946479e-02	1.946479e-02
-4.000000e-01	7.771561e-16	1.867261e+00	1.986448e-02	1.986448e-02
7.771561e-16	4.000000e-01	1.884167e+00	1.995420e-02	1.995420e-02
4.000000e-01	8.000000e-01	1.778927e+00	1.938893e-02	1.938893e-02
8.000000e-01	1.200000e+00	1.577747e+00	1.825969e-02	1.825969e-02
1.200000e+00	1.600000e+00	1.258013e+00	1.630487e-02	1.630487e-02
1.600000e+00	2.000000e+00	9.467328e-01	1.414452e-02	1.414452e-02
2.000000e+00	2.400000e+00	6.341840e-01	1.157664e-02	1.157664e-02
2.400000e+00	2.800000e+00	1.060848e-01	4.734795e-03	4.734795e-03
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

