# BEGIN HISTO1D /res/oxford/histo_pt_smallR_boost_C2
Path=/res/oxford/histo_pt_smallR_boost_C2
Title=pt_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.770941e-03	6.250317e-05	6.250317e-05
6.000000e+01	9.000000e+01	3.280850e-03	8.560512e-05	8.560512e-05
9.000000e+01	1.200000e+02	3.211475e-03	8.510259e-05	8.510259e-05
1.200000e+02	1.500000e+02	2.912674e-03	8.106836e-05	8.106836e-05
1.500000e+02	1.800000e+02	2.470595e-03	7.476557e-05	7.476557e-05
1.800000e+02	2.100000e+02	1.999086e-03	6.728611e-05	6.728611e-05
2.100000e+02	2.400000e+02	1.280104e-03	5.377830e-05	5.377830e-05
2.400000e+02	2.700000e+02	8.829750e-04	4.473000e-05	4.473000e-05
2.700000e+02	3.000000e+02	6.310457e-04	3.784032e-05	3.784032e-05
3.000000e+02	3.300000e+02	3.708063e-04	2.893334e-05	2.893334e-05
3.300000e+02	3.600000e+02	2.287374e-04	2.269550e-05	2.269550e-05
3.600000e+02	3.900000e+02	1.611920e-04	1.909912e-05	1.909912e-05
3.900000e+02	4.200000e+02	8.750857e-05	1.408351e-05	1.408351e-05
4.200000e+02	4.500000e+02	9.398460e-05	1.464260e-05	1.464260e-05
4.500000e+02	4.800000e+02	5.453450e-05	1.110536e-05	1.110536e-05
4.800000e+02	5.100000e+02	5.474377e-05	1.111239e-05	1.111239e-05
5.100000e+02	5.400000e+02	4.151113e-05	9.570119e-06	9.570119e-06
5.400000e+02	5.700000e+02	3.339363e-05	8.670696e-06	8.670696e-06
5.700000e+02	6.000000e+02	2.579243e-05	7.677183e-06	7.677183e-06
6.000000e+02	6.300000e+02	2.136364e-05	6.950237e-06	6.950237e-06
6.300000e+02	6.600000e+02	1.461733e-05	5.684645e-06	5.684645e-06
6.600000e+02	6.900000e+02	2.097947e-05	6.944031e-06	6.944031e-06
6.900000e+02	7.200000e+02	1.629100e-05	6.123999e-06	6.123999e-06
7.200000e+02	7.500000e+02	2.349839e-05	7.325164e-06	7.325164e-06
7.500000e+02	7.800000e+02	7.005933e-06	4.009174e-06	4.009174e-06
7.800000e+02	8.100000e+02	2.372853e-06	2.314938e-06	2.314938e-06
8.100000e+02	8.400000e+02	4.662430e-06	3.273435e-06	3.273435e-06
8.400000e+02	8.700000e+02	4.918477e-06	3.286067e-06	3.286067e-06
8.700000e+02	9.000000e+02	6.944097e-06	4.008964e-06	4.008964e-06
# END HISTO1D

