# BEGIN HISTO1D /res/oxford/histo_pt_smallR_res_C1b
Path=/res/oxford/histo_pt_smallR_res_C1b
Title=pt_smallR_res_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	4.285707e+00	4.921155e-03	4.921155e-03
6.000000e+01	9.000000e+01	3.745240e+00	4.600401e-03	4.600401e-03
9.000000e+01	1.200000e+02	1.946420e+00	3.316455e-03	3.316455e-03
1.200000e+02	1.500000e+02	1.077764e+00	2.467844e-03	2.467844e-03
1.500000e+02	1.800000e+02	6.289250e-01	1.885191e-03	1.885191e-03
1.800000e+02	2.100000e+02	3.864313e-01	1.477719e-03	1.477719e-03
2.100000e+02	2.400000e+02	2.513033e-01	1.191667e-03	1.191667e-03
2.400000e+02	2.700000e+02	1.699654e-01	9.800226e-04	9.800226e-04
2.700000e+02	3.000000e+02	1.183339e-01	8.177307e-04	8.177307e-04
3.000000e+02	3.300000e+02	8.544043e-02	6.948443e-04	6.948443e-04
3.300000e+02	3.600000e+02	6.383733e-02	6.006108e-04	6.006108e-04
3.600000e+02	3.900000e+02	4.653450e-02	5.127945e-04	5.127945e-04
3.900000e+02	4.200000e+02	3.621610e-02	4.523834e-04	4.523834e-04
4.200000e+02	4.500000e+02	2.786985e-02	3.968470e-04	3.968470e-04
4.500000e+02	4.800000e+02	2.216817e-02	3.539327e-04	3.539327e-04
4.800000e+02	5.100000e+02	1.814479e-02	3.202077e-04	3.202077e-04
5.100000e+02	5.400000e+02	1.461302e-02	2.873597e-04	2.873597e-04
5.400000e+02	5.700000e+02	1.168025e-02	2.569105e-04	2.569105e-04
5.700000e+02	6.000000e+02	9.730713e-03	2.344921e-04	2.344921e-04
6.000000e+02	6.300000e+02	7.854643e-03	2.106779e-04	2.106779e-04
6.300000e+02	6.600000e+02	6.984417e-03	1.986648e-04	1.986648e-04
6.600000e+02	6.900000e+02	5.633870e-03	1.784264e-04	1.784264e-04
6.900000e+02	7.200000e+02	4.605420e-03	1.613208e-04	1.613208e-04
7.200000e+02	7.500000e+02	4.023383e-03	1.507827e-04	1.507827e-04
7.500000e+02	7.800000e+02	3.407447e-03	1.387619e-04	1.387619e-04
7.800000e+02	8.100000e+02	2.712394e-03	1.238033e-04	1.238033e-04
8.100000e+02	8.400000e+02	2.435504e-03	1.173141e-04	1.173141e-04
8.400000e+02	8.700000e+02	1.966486e-03	1.054147e-04	1.054147e-04
8.700000e+02	9.000000e+02	1.757405e-03	9.965332e-05	9.965332e-05
# END HISTO1D

