# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_smallR_inter_C1d
Path=/res/oxford_combined_rw2/histo_m_smallR_inter_C1d
Title=m_smallR_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	1.959420e-05	1.131272e-05	1.131272e-05
1.200000e+01	1.800000e+01	2.645217e-03	1.314419e-04	1.314419e-04
1.800000e+01	2.400000e+01	3.846995e-02	5.012610e-04	5.012610e-04
2.400000e+01	3.000000e+01	5.335500e-02	5.903243e-04	5.903243e-04
3.000000e+01	3.600000e+01	2.157975e-02	3.754277e-04	3.754277e-04
3.600000e+01	4.200000e+01	1.196552e-02	2.795561e-04	2.795561e-04
4.200000e+01	4.800000e+01	7.876868e-03	2.268193e-04	2.268193e-04
4.800000e+01	5.400000e+01	5.414530e-03	1.880544e-04	1.880544e-04
5.400000e+01	6.000000e+01	3.219980e-03	1.450206e-04	1.450206e-04
6.000000e+01	6.600000e+01	1.959420e-03	1.131272e-04	1.131272e-04
6.600000e+01	7.200000e+01	9.797100e-04	7.999299e-05	7.999299e-05
7.200000e+01	7.800000e+01	6.139517e-04	6.332428e-05	6.332428e-05
7.800000e+01	8.400000e+01	3.069758e-04	4.477702e-05	4.477702e-05
8.400000e+01	9.000000e+01	1.698163e-04	3.330374e-05	3.330374e-05
9.000000e+01	9.600000e+01	7.837680e-05	2.262543e-05	2.262543e-05
9.600000e+01	1.020000e+02	1.240966e-04	2.846971e-05	2.846971e-05
1.020000e+02	1.080000e+02	3.918840e-05	1.599860e-05	1.599860e-05
1.080000e+02	1.140000e+02	3.918840e-05	1.599860e-05	1.599860e-05
1.140000e+02	1.200000e+02	3.918840e-05	1.599860e-05	1.599860e-05
1.200000e+02	1.260000e+02	2.612560e-05	1.306280e-05	1.306280e-05
1.260000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.380000e+02	6.531400e-06	6.531401e-06	6.531401e-06
1.380000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.500000e+02	6.531400e-06	6.531401e-06	6.531401e-06
1.500000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.620000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	6.531400e-06	6.531401e-06	6.531401e-06
1.740000e+02	1.800000e+02	6.531400e-06	6.531401e-06	6.531401e-06
# END HISTO1D

