# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H0_boost_C2
Path=/res/oxford_combined_rw2/histo_m_H0_boost_C2
Title=m_H0_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	3.554127e-08	3.345383e-08	3.345383e-08
9.000000e+01	9.600000e+01	1.513247e-07	7.167616e-08	7.167616e-08
9.600000e+01	1.020000e+02	2.776425e-06	2.675888e-06	2.675888e-06
1.020000e+02	1.080000e+02	8.195078e-08	4.785434e-08	4.785434e-08
1.080000e+02	1.140000e+02	2.846238e-06	2.676307e-06	2.676307e-06
1.140000e+02	1.200000e+02	1.082697e-07	5.808528e-08	5.808528e-08
1.200000e+02	1.260000e+02	8.603067e-06	4.646584e-06	4.646584e-06
1.260000e+02	1.320000e+02	2.979160e-06	2.677142e-06	2.677142e-06
1.320000e+02	1.380000e+02	2.074422e-05	7.111179e-06	7.111179e-06
1.380000e+02	1.440000e+02	3.833610e-05	1.001639e-05	1.001639e-05
1.440000e+02	1.500000e+02	1.006397e-04	1.628085e-05	1.628085e-05
1.500000e+02	1.560000e+02	1.032179e-04	1.649298e-05	1.649298e-05
1.560000e+02	1.620000e+02	1.502646e-04	1.985303e-05	1.985303e-05
1.620000e+02	1.680000e+02	5.205223e-05	1.167158e-05	1.167158e-05
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

