# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dEta_HH_inter_C1e
Path=/res/oxford_combined_rw2/histo_dEta_HH_inter_C1e
Title=dEta_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	1.857530e-02	2.089884e-03	2.089884e-03
1.666667e-01	3.333333e-01	1.575374e-02	1.924626e-03	1.924626e-03
3.333333e-01	5.000000e-01	2.257251e-02	2.303797e-03	2.303797e-03
5.000000e-01	6.666667e-01	1.739965e-02	2.022668e-03	2.022668e-03
6.666667e-01	8.333333e-01	1.645913e-02	1.967242e-03	1.967242e-03
8.333333e-01	1.000000e+00	1.410782e-02	1.821312e-03	1.821312e-03
1.000000e+00	1.166667e+00	8.464675e-03	1.410780e-03	1.410780e-03
1.166667e+00	1.333333e+00	8.934990e-03	1.449447e-03	1.449447e-03
1.333333e+00	1.500000e+00	7.994420e-03	1.371031e-03	1.371031e-03
1.500000e+00	1.666667e+00	7.053898e-03	1.287860e-03	1.287860e-03
1.666667e+00	1.833333e+00	3.997233e-03	9.694713e-04	9.694713e-04
1.833333e+00	2.000000e+00	4.702599e-03	1.051533e-03	1.051533e-03
2.000000e+00	2.166667e+00	3.291819e-03	8.797756e-04	8.797756e-04
2.166667e+00	2.333333e+00	2.821576e-03	8.145189e-04	8.145189e-04
2.333333e+00	2.500000e+00	1.410780e-03	5.759483e-04	5.759483e-04
# END HISTO1D

