# BEGIN HISTOGRAM /res/oxford_combined/SHERPA_QCD2b2j/histo_N_Constit_SmallRBJets_SelB_C0
Path=/res/oxford_combined/SHERPA_QCD2b2j/histo_N_Constit_SmallRBJets_SelB_C0
Title=N_Constit_SmallRBJets_SelB_C0
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	3.020461e+08	1.742246e+05	1.742246e+05
2.000000e+00	3.000000e+00	1.023417e+08	1.015393e+05	1.015393e+05
3.000000e+00	4.000000e+00	2.444910e+07	5.121183e+04	5.121183e+04
4.000000e+00	5.000000e+00	5.444762e+06	2.507558e+04	2.507558e+04
5.000000e+00	6.000000e+00	1.251798e+06	1.140009e+04	1.140009e+04
6.000000e+00	7.000000e+00	3.122484e+05	5.559953e+03	5.559953e+03
7.000000e+00	8.000000e+00	8.362005e+04	2.795807e+03	2.795807e+03
8.000000e+00	9.000000e+00	2.149058e+04	1.375326e+03	1.375326e+03
9.000000e+00	1.000000e+01	6.641518e+03	7.618343e+02	7.618343e+02
1.000000e+01	1.100000e+01	2.883817e+03	5.020081e+02	5.020081e+02
1.100000e+01	1.200000e+01	8.738839e+02	2.763464e+02	2.763464e+02
1.200000e+01	1.300000e+01	1.747768e+02	1.235858e+02	1.235858e+02
1.300000e+01	1.400000e+01	4.296138e+02	2.832232e+02	2.832232e+02
1.400000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

