# BEGIN HISTOGRAM /res/oxford_combined/SHERPA_QCD4b/histo_N_SmallRJets_inter_C2
Path=/res/oxford_combined/SHERPA_QCD4b/histo_N_SmallRJets_inter_C2
Title=N_SmallRJets_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	3.346680e+00	1.115560e+00	1.115560e+00
5.000000e+00	6.000000e+00	1.859267e+00	8.314893e-01	8.314893e-01
6.000000e+00	7.000000e+00	3.718533e-01	3.718533e-01	3.718533e-01
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

