# BEGIN HISTOGRAM /res/oxford_combined/SHERPA_QCD4b/histo_m_HH_inter_C1
Path=/res/oxford_combined/SHERPA_QCD4b/histo_m_HH_inter_C1
Title=m_HH_inter_C1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.600000e+02	1.859267e-02	1.859267e-02	1.859267e-02
2.600000e+02	2.800000e+02	5.577800e-02	3.220344e-02	3.220344e-02
2.800000e+02	3.000000e+02	1.673340e-01	5.577800e-02	5.577800e-02
3.000000e+02	3.200000e+02	3.160753e-01	7.665953e-02	7.665953e-02
3.200000e+02	3.400000e+02	5.020020e-01	9.661033e-02	9.661033e-02
3.400000e+02	3.600000e+02	8.552626e-01	1.261016e-01	1.261016e-01
3.600000e+02	3.800000e+02	1.208523e+00	1.498989e-01	1.498989e-01
3.800000e+02	4.000000e+02	1.282894e+00	1.544423e-01	1.544423e-01
4.000000e+02	4.200000e+02	1.859267e+00	1.859267e-01	1.859267e-01
4.200000e+02	4.400000e+02	2.305491e+00	2.070392e-01	2.070392e-01
4.400000e+02	4.600000e+02	2.286898e+00	2.062026e-01	2.062026e-01
4.600000e+02	4.800000e+02	2.249713e+00	2.045193e-01	2.045193e-01
4.800000e+02	5.000000e+02	2.212527e+00	2.028220e-01	2.028220e-01
5.000000e+02	5.200000e+02	2.193935e+00	2.019681e-01	2.019681e-01
5.200000e+02	5.400000e+02	2.138157e+00	1.993841e-01	1.993841e-01
5.400000e+02	5.600000e+02	2.417047e+00	2.119890e-01	2.119890e-01
5.600000e+02	5.800000e+02	2.138157e+00	1.993841e-01	1.993841e-01
5.800000e+02	6.000000e+02	1.691933e+00	1.773627e-01	1.773627e-01
# END HISTOGRAM

