# BEGIN HISTOGRAM /res/oxford_combined/total/histo_N_SmallRTrackJets_inter_C0
Path=/res/oxford_combined/total/histo_N_SmallRTrackJets_inter_C0
Title=N_SmallRTrackJets_inter_C0
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	3.171941e+03	3.171941e+03	3.171941e+03
5.000000e+00	6.000000e+00	3.171941e+03	3.171941e+03	3.171941e+03
6.000000e+00	7.000000e+00	3.541828e+04	1.052231e+04	1.052231e+04
7.000000e+00	8.000000e+00	1.154036e+05	2.034685e+04	2.034685e+04
8.000000e+00	9.000000e+00	3.304272e+05	3.388066e+04	3.388066e+04
9.000000e+00	1.000000e+01	1.198339e+06	6.547326e+04	6.547326e+04
# END HISTOGRAM

