# BEGIN HISTOGRAM /res/oxford_combined_rw/SHERPA_QCD4b/histo_tau21_fj2_boost_C2
Path=/res/oxford_combined_rw/SHERPA_QCD4b/histo_tau21_fj2_boost_C2
Title=tau21_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.684281e+00	4.570048e+00	4.570048e+00
3.333333e-02	6.666667e-02	9.252901e+00	6.462518e+00	6.462518e+00
6.666667e-02	1.000000e-01	4.627887e+00	4.569691e+00	4.569691e+00
1.000000e-01	1.333333e-01	1.850938e+01	9.139381e+00	9.139381e+00
1.333333e-01	1.666667e-01	1.428274e+01	7.916379e+00	7.916379e+00
1.666667e-01	2.000000e-01	1.416922e+01	7.915967e+00	7.915967e+00
2.000000e-01	2.333333e-01	1.405572e+01	7.915555e+00	7.915555e+00
2.333333e-01	2.666667e-01	2.324935e+01	1.021846e+01	1.021846e+01
2.666667e-01	3.000000e-01	2.319296e+01	1.021830e+01	1.021830e+01
3.000000e-01	3.333333e-01	1.394009e+01	7.915143e+00	7.915143e+00
3.333333e-01	3.666667e-01	9.656296e+00	6.464285e+00	6.464285e+00
3.666667e-01	4.000000e-01	9.542089e+00	6.463781e+00	6.463781e+00
4.000000e-01	4.333333e-01	4.590931e-01	1.615551e-01	1.615551e-01
4.333333e-01	4.666667e-01	9.370722e+00	6.463023e+00	6.463023e+00
4.666667e-01	5.000000e-01	1.399430e+01	7.915349e+00	7.915349e+00
5.000000e-01	5.333333e-01	2.913129e-01	1.277327e-01	1.277327e-01
5.333333e-01	5.666667e-01	1.845226e+01	9.139203e+00	9.139203e+00
5.666667e-01	6.000000e-01	2.306175e-01	1.142400e-01	1.142400e-01
6.000000e-01	6.333333e-01	1.735097e-01	9.893670e-02	9.893670e-02
6.333333e-01	6.666667e-01	4.799969e+00	4.570762e+00	4.570762e+00
6.666667e-01	7.000000e-01	1.149473e-01	8.077833e-02	8.077833e-02
7.000000e-01	7.333333e-01	1.427917e-03	1.009690e-03	1.009690e-03
7.333333e-01	7.666667e-01	4.627887e+00	4.569691e+00	4.569691e+00
7.666667e-01	8.000000e-01	5.711678e-02	5.711667e-02	5.711667e-02
8.000000e-01	8.333333e-01	7.139584e-04	7.139584e-04	7.139584e-04
8.333333e-01	8.666667e-01	1.427917e-03	1.009690e-03	1.009690e-03
8.666667e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	1.000000e+00	8.924480e-06	8.924480e-06	8.924480e-06
# END HISTOGRAM

