# BEGIN HISTOGRAM /res/oxford_combined_rw/total/histo_dEta_HH_inter_C1
Path=/res/oxford_combined_rw/total/histo_dEta_HH_inter_C1
Title=dEta_HH_inter_C1
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.333333e+00	-2.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.166667e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.833333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.833333e+00	-1.666667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e+00	-1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.500000e+00	-1.333333e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.333333e+00	-1.166667e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.166667e+00	-1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e+00	-8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.333333e-01	-6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.666667e-01	-5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	-3.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.333333e-01	-1.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.666667e-01	-1.665335e-16	0.000000e+00	0.000000e+00	0.000000e+00
-1.665335e-16	1.666667e-01	4.050037e+06	2.739206e+05	2.739206e+05
1.666667e-01	3.333333e-01	5.048330e+06	3.067724e+05	3.067724e+05
3.333333e-01	5.000000e-01	4.464537e+06	2.880950e+05	2.880950e+05
5.000000e-01	6.666667e-01	4.732532e+06	2.967666e+05	2.967666e+05
6.666667e-01	8.333333e-01	4.152904e+06	2.778506e+05	2.778506e+05
8.333333e-01	1.000000e+00	4.114616e+06	2.764779e+05	2.764779e+05
1.000000e+00	1.166667e+00	4.111996e+06	2.759101e+05	2.759101e+05
1.166667e+00	1.333333e+00	4.291691e+06	2.823798e+05	2.823798e+05
1.333333e+00	1.500000e+00	4.562156e+06	2.912339e+05	2.912339e+05
1.500000e+00	1.666667e+00	3.790587e+06	2.651755e+05	2.651755e+05
1.666667e+00	1.833333e+00	4.067340e+06	2.752212e+05	2.752212e+05
1.833333e+00	2.000000e+00	3.287488e+06	2.474853e+05	2.474853e+05
2.000000e+00	2.166667e+00	3.110521e+06	2.408077e+05	2.408077e+05
2.166667e+00	2.333333e+00	2.887614e+06	2.714430e+05	2.714430e+05
2.333333e+00	2.500000e+00	2.026696e+06	1.941485e+05	1.941485e+05
# END HISTOGRAM

